State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2007-02-16,1000,1250,1200.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2007-02-21,1000,1250,1200.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2007-03-13,1100,1400,1250.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2007-03-22,1250,1400,1300.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2007-07-04,1750,2000,1850.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2007-07-07,1750,2000,1900.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2007-07-10,2000,2500,2500.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2007-07-11,2000,2500,2200.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2007-07-16,2250,2500,2400.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2007-07-19,1800,2050,1950.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2007-07-23,900,1000,900.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2007-08-17,2000,2250,2150.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2007-08-23,1900,2000,1900.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-01-08,1000,1300,1200.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-01-10,1000,1300,1200.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-01-12,1000,1300,1200.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-01-13,1000,1300,1200.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-01-16,1000,1300,1200.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-01-19,1000,1300,1200.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-01-21,1000,1300,1200.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-01-31,1000,1300,1200.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-02-02,900,1300,1200.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-02-05,900,1200,1100.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-02-06,900,1200,1100.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-03-07,1000,1200,1100.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-03-08,1000,1200,1100.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-03-10,900,1200,1000.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-03-22,1000,1400,1300.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-03-30,900,1100,1000.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-04-03,900,1300,1200.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-04-06,900,1200,1000.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-04-08,1000,1200,1100.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-04-11,1000,1200,1100.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-04-13,1000,1200,1100.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-04-22,900,1200,1100.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-05-08,900,1100,1000.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-05-09,900,1100,1000.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-06-04,800,1400,1200.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-06-06,800,1400,1200.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-06-09,800,1200,1100.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-06-22,1800,2000,1900.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-07-09,1800,2200,2000.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-07-19,1800,2200,2000.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-08-08,1500,2000,1750.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-08-18,2000,2400,2200.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-08-19,1500,2200,2000.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-08-23,1500,2000,1800.0,27
Gujarat,Navsari,Bilimora,Ginger(Dry),Other,FAQ,2007-09-01,2500,2700,2600.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2003-09-18 00:00:00,330,340,330.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2003-09-23 00:00:00,350,380,360.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2003-09-24 00:00:00,360,380,370.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2003-10-06 00:00:00,400,420,410.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2003-10-08 00:00:00,350,380,360.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2003-10-13 00:00:00,380,400,400.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2003-12-10 00:00:00,1900,2000,2000.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2003-12-12 00:00:00,2250,2250,2250.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2003-12-17 00:00:00,2200,2200,2200.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2003-12-24 00:00:00,1900,2100,2000.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2003-12-29 00:00:00,2100,2200,2200.0,27
Gujarat,Bharuch,Bharuch,Ginger(Dry),Other,FAQ,2003-08-28 00:00:00,2500,3000,2750.0,27
Gujarat,Bharuch,Bharuch,Ginger(Dry),Other,FAQ,2003-09-22 00:00:00,1500,2500,2000.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-01-01 00:00:00,2300,2400,2350.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-01-02 00:00:00,2300,2500,2400.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-01-03 00:00:00,2200,2300,2300.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-01-17 00:00:00,2200,2200,2200.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-01-28 00:00:00,2500,2750,2600.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-02-05 00:00:00,2800,3000,2900.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-02-09 00:00:00,2800,3000,2900.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-02-20 00:00:00,2400,2500,2500.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-02-25 00:00:00,2500,2600,2550.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-02-26 00:00:00,1900,2000,2000.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-03-05 00:00:00,2250,2400,2300.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-03-09 00:00:00,1900,2000,2000.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-03-18 00:00:00,2500,3000,2750.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-04-30 00:00:00,3000,3250,3200.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-06-02 00:00:00,5000,5250,5150.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-06-14 00:00:00,5000,5250,5150.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-06-22 00:00:00,5000,5125,5100.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-06-23 00:00:00,5000,5250,5100.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-07-27 00:00:00,3250,3500,3400.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-07-29 00:00:00,4400,4400,4400.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-07-30 00:00:00,3250,3500,3400.0,27
Gujarat,Anand,Anand,Ginger(Dry),Other,FAQ,2004-07-31 00:00:00,4000,4125,4100.0,27
