State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-03-08,4000.0,4600.0,4300.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-03-09,4000.0,4500.0,4250.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-03-22,4000.0,4850.0,4425.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-04-23,4000.0,4700.0,4350.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-06-03,3500.0,4800.0,4150.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-06-08,4500.0,5250.0,4875.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-06-09,4500.0,5300.0,4900.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-06-10,4500.0,5250.0,4875.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-07-23,4000.0,4850.0,4425.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-08-04,2000.0,3800.0,2900.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-09-15,3500.0,4000.0,3750.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-09-16,3500.0,4100.0,3800.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-09-28,4000.0,5250.0,4625.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-10-13,3500.0,4300.0,3900.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-10-16,4000.0,6200.0,5100.0,359
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,2021-12-04,1500.0,2750.0,2125.0,359
Gujarat,Surat,Vyra,Gram Raw(Chholia),Other,FAQ,2021-07-10,2000.0,3000.0,2750.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-01-01,2500.0,3500.0,3050.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-01-26,2500.0,3000.0,2800.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-01-27,1800.0,2500.0,2200.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-01-30,2000.0,2500.0,2300.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-02-27,2500.0,3000.0,2800.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-03-01,2500.0,3000.0,2800.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-03-07,2500.0,3000.0,2800.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-03-20,2000.0,2500.0,2300.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-04-07,3500.0,4000.0,3800.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-04-11,2500.0,3000.0,2800.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-05-10,1000.0,1600.0,1350.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-05-13,1000.0,1500.0,1300.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-05-21,1000.0,1600.0,1350.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-05-25,2000.0,2500.0,2300.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-05-27,2000.0,2500.0,2300.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-06-01,1500.0,2000.0,1800.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-06-07,1500.0,2000.0,1800.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-06-29,3500.0,4000.0,3800.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-07-01,3000.0,3500.0,3300.0,359
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Gram Raw(Chholia),Other,FAQ,2021-07-05,2500.0,3000.0,2800.0,359
