State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-01-13,2610.0,2685.0,2620.0,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-01-20,2705.0,2740.0,2725.0,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-01-21,2690.0,2710.0,2695.0,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-01-28,2630.0,2695.0,2680.0,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-02-13,2621.25,2621.25,2621.25,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-02-16,2715.0,2815.0,2790.0,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-02-23,2800.0,2800.0,2800.0,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-03-25,3615.0,3625.0,3620.0,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-04-07,3220.0,3220.0,3220.0,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-04-19,2905.0,3065.0,2975.0,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-05-17,3410.0,3530.0,3450.0,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-06-01,3205.0,3205.0,3205.0,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-06-21,1885.0,2955.0,2825.0,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-06-30,2800.0,2800.0,2800.0,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-07-07,2615.0,2615.0,2615.0,9
Gujarat,Ahmedabad,Bavla,Green Gram (Moong)(Whole),Other,FAQ,2006-09-16,2630.0,2630.0,2630.0,9
