State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Bharuch,Ankleshwar,Groundnut pods (raw),Other,FAQ,2007-07-13,16150.0,17500.0,16600.0,312
Gujarat,Vadodara(Baroda),Vadodara,Groundnut pods (raw),Other,FAQ,2007-05-25,1000.0,1500.0,1200.0,312
Gujarat,Vadodara(Baroda),Vadodara,Groundnut pods (raw),Other,FAQ,2007-05-31,1000.0,1600.0,1275.0,312
Gujarat,Vadodara(Baroda),Vadodara,Groundnut pods (raw),Other,FAQ,2007-06-01,1000.0,1500.0,1250.0,312
Gujarat,Vadodara(Baroda),Vadodara,Groundnut pods (raw),Other,FAQ,2007-06-05,1000.0,1400.0,1200.0,312
Gujarat,Vadodara(Baroda),Vadodara,Groundnut pods (raw),Other,FAQ,2007-06-15,750.0,1500.0,1100.0,312
Gujarat,Vadodara(Baroda),Vadodara,Groundnut pods (raw),Other,FAQ,2007-06-19,750.0,1500.0,1100.0,312
Gujarat,Vadodara(Baroda),Vadodara,Groundnut pods (raw),Other,FAQ,2007-06-22,750.0,1600.0,1200.0,312
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Groundnut pods (raw),Other,FAQ,2007-07-28,750.0,1750.0,1300.0,312
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Groundnut pods (raw),Other,FAQ,2007-07-29,700.0,1750.0,1300.0,312
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Groundnut pods (raw),Other,FAQ,2007-08-04,700.0,1750.0,1300.0,312
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Groundnut pods (raw),Other,FAQ,2007-08-05,700.0,1750.0,1300.0,312
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Groundnut pods (raw),Other,FAQ,2007-09-18,750.0,1800.0,1275.0,312
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Groundnut pods (raw),Other,FAQ,2007-09-20,750.0,1400.0,1250.0,312
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Groundnut pods (raw),Other,FAQ,2007-09-23,750.0,1400.0,1250.0,312
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Groundnut pods (raw),Other,FAQ,2007-10-04,1500.0,1800.0,1625.0,312
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Groundnut pods (raw),Other,FAQ,2007-10-08,1500.0,1800.0,1600.0,312
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Groundnut pods (raw),Other,FAQ,2007-10-11,1500.0,1800.0,1600.0,312
