State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Gir Somnath,Una,Indian Colza(Sarson),Other,FAQ,2006-11-03,200,200,200.0,344
Gujarat,Gir Somnath,Una,Indian Colza(Sarson),Other,FAQ,2006-10-20 00:00:00,300,500,400.0,344
Gujarat,Gir Somnath,Una,Indian Colza(Sarson),Other,FAQ,2006-10-23 00:00:00,300,600,450.0,344
Gujarat,Gir Somnath,Una,Indian Colza(Sarson),Other,FAQ,2006-10-28 00:00:00,250,300,275.0,344
Gujarat,Gir Somnath,Una,Indian Colza(Sarson),Other,FAQ,2006-11-06 00:00:00,200,200,200.0,344
Gujarat,Gir Somnath,Una,Indian Colza(Sarson),Other,FAQ,2006-11-07 00:00:00,200,200,200.0,344
Gujarat,Gir Somnath,Una,Indian Colza(Sarson),Other,FAQ,2006-10-06 00:00:00,200,400,300.0,344
Gujarat,Gir Somnath,Una,Indian Colza(Sarson),Other,FAQ,2006-10-24 00:00:00,300,500,400.0,344
Gujarat,Gir Somnath,Una,Indian Colza(Sarson),Other,FAQ,2006-10-31 00:00:00,200,400,300.0,344
Gujarat,Gir Somnath,Una,Indian Colza(Sarson),Other,FAQ,2006-10-19 00:00:00,300,600,450.0,344
Gujarat,Gir Somnath,Una,Indian Colza(Sarson),Other,FAQ,2006-10-30 00:00:00,200,400,300.0,344
