State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-03-20,3445.0,3445.0,3445.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-04-20,1850.0,3100.0,2900.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-04-23,2655.0,3140.0,3140.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-05-02,2055.0,2055.0,2055.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-05-05,2400.0,2650.0,2500.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-05-10,2350.0,2350.0,2350.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-05-18,2875.0,2875.0,2875.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-06-09,2330.0,2330.0,2330.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-06-18,2195.0,2195.0,2195.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-07-05,2905.0,2905.0,2905.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-07-16,2750.0,2750.0,2750.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-07-18,1780.0,2800.0,2365.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-07-20,2525.0,2525.0,2525.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-07-25,2685.0,2685.0,2685.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-08-04,2700.0,2700.0,2700.0,256
Gujarat,Amreli,Amreli,Isabgul (Psyllium),Other,FAQ,2007-11-03,2500.0,2995.0,2995.0,256
