State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2007-11-03,825,965,900.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2007-11-15,975,1150,1050.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2007-11-24,975,1105,1025.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2007-12-29,900,1000,950.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-01-07 00:00:00,1890,1890,1890.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-01-10 00:00:00,1760,1955,1825.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-01-11 00:00:00,1895,1895,1895.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-01-16 00:00:00,1625,1625,1625.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-03-13 00:00:00,1235,1235,1235.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-03-22 00:00:00,1125,1260,1175.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-04-06 00:00:00,1225,1310,1250.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-04-08 00:00:00,1200,1275,1250.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-04-12 00:00:00,1150,1320,1205.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-04-15 00:00:00,1250,1300,1275.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-04-20 00:00:00,1165,1330,1265.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-04-26 00:00:00,1255,1340,1275.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-05-01 00:00:00,1205,1340,1305.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-05-02 00:00:00,1300,1375,1325.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-05-06 00:00:00,1300,1400,1375.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-05-07 00:00:00,1205,1345,1290.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-05-09 00:00:00,1350,1435,1370.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-05-15 00:00:00,1350,1410,1375.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-05-22 00:00:00,1250,1340,1300.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-06-03 00:00:00,1300,1370,1335.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-06-05 00:00:00,1300,1300,1300.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-06-07 00:00:00,1295,1385,1310.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-06-11 00:00:00,1275,1325,1305.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-06-13 00:00:00,1345,1345,1345.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-07-01 00:00:00,1250,1370,1325.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-07-08 00:00:00,1125,1315,1225.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2013-08-14 00:00:00,1250,1300,1275.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-02-01 00:00:00,1290,1290,1290.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-02-04 00:00:00,1335,1335,1335.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-02-07 00:00:00,1175,1175,1175.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-03-01 00:00:00,900,1150,1000.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-03-14 00:00:00,1345,1485,1400.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-04-06 00:00:00,1025,1085,1075.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-04-07 00:00:00,1025,1125,1050.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-04-23 00:00:00,1050,1130,1090.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-04-27 00:00:00,1075,1165,1100.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-05-02 00:00:00,1050,1145,1095.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-05-03 00:00:00,1055,1130,1100.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-05-09 00:00:00,1060,1120,1090.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-05-10 00:00:00,1060,1105,1090.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-05-13 00:00:00,1145,1145,1145.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-06-04 00:00:00,1100,1210,1175.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-06-09 00:00:00,1100,1155,1125.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-06-14 00:00:00,830,1160,1120.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-06-20 00:00:00,1100,1145,1125.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-07-16 00:00:00,1125,1125,1125.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-09-16 00:00:00,1100,1130,1115.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-10-13 00:00:00,1000,1000,1000.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2011-12-24 00:00:00,1240,1240,1240.0,16
Gujarat,Morbi,Vankaner,Jute,Jute,FAQ,2023-04-08 00:00:00,2350,2625,2450.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2012-04-19 00:00:00,1205,1350,1275.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2012-04-20 00:00:00,1225,1410,1350.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2012-05-02 00:00:00,1255,1335,1300.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2012-05-15 00:00:00,1295,1295,1295.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2012-05-25 00:00:00,1200,1260,1225.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2012-08-03 00:00:00,1450,1505,1475.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2012-09-06 00:00:00,1050,1050,1050.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2012-10-19 00:00:00,1415,1415,1415.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2012-11-02 00:00:00,1000,1000,1000.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2012-11-21 00:00:00,1250,1500,1400.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2012-12-11 00:00:00,1620,1620,1620.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-01-07 00:00:00,2450,2925,2575.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-02-12 00:00:00,700,700,700.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-02-14 00:00:00,835,835,835.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-02-19 00:00:00,805,805,805.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-02-28 00:00:00,960,960,960.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-03-05 00:00:00,950,950,950.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-03-09 00:00:00,810,890,865.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-03-18 00:00:00,855,885,875.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-03-26 00:00:00,760,800,775.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-04-08 00:00:00,790,860,825.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-04-11 00:00:00,825,855,835.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-04-13 00:00:00,800,935,875.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-04-25 00:00:00,885,960,935.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-04-27 00:00:00,955,955,955.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-04-29 00:00:00,900,950,935.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-05-01 00:00:00,875,975,900.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-05-06 00:00:00,875,910,895.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-05-16 00:00:00,830,830,830.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-05-25 00:00:00,710,810,775.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-06-02 00:00:00,700,700,700.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-06-10 00:00:00,760,760,760.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-06-20 00:00:00,600,765,730.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-06-29 00:00:00,775,790,785.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-07-17 00:00:00,875,875,875.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-07-27 00:00:00,865,865,865.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-07-29 00:00:00,800,800,800.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-07-30 00:00:00,770,860,840.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-08-18 00:00:00,735,810,775.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-08-21 00:00:00,725,815,800.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-08-29 00:00:00,815,815,815.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-08-31 00:00:00,775,860,845.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-09-07 00:00:00,750,800,765.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-10-23 00:00:00,875,875,875.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-11-10 00:00:00,820,855,835.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-11-18 00:00:00,950,950,950.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-11-21 00:00:00,850,850,850.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-11-23 00:00:00,900,900,900.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-11-25 00:00:00,800,905,875.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-12-01 00:00:00,675,875,825.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-12-04 00:00:00,700,800,775.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-12-07 00:00:00,950,950,950.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-12-18 00:00:00,800,800,800.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-12-22 00:00:00,725,925,875.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2009-12-31 00:00:00,775,950,900.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2014-04-25 00:00:00,1305,1305,1305.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-01-04 00:00:00,850,850,850.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-01-21 00:00:00,855,855,855.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-02-18 00:00:00,865,865,865.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-02-26 00:00:00,700,880,800.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-03-03 00:00:00,885,910,895.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-03-05 00:00:00,905,950,950.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-03-11 00:00:00,735,925,840.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-03-18 00:00:00,810,855,825.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-03-19 00:00:00,765,865,825.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-04-02 00:00:00,850,870,855.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-04-03 00:00:00,780,855,835.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-04-09 00:00:00,840,890,855.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-04-19 00:00:00,810,860,840.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-04-21 00:00:00,805,845,830.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-04-22 00:00:00,790,825,805.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-04-23 00:00:00,805,865,840.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-04-26 00:00:00,840,890,870.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-04-27 00:00:00,845,955,905.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-04-29 00:00:00,840,925,880.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-05-11 00:00:00,885,960,900.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-05-20 00:00:00,900,970,930.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-05-24 00:00:00,945,960,950.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-05-27 00:00:00,935,965,950.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-05-29 00:00:00,950,995,975.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-06-09 00:00:00,900,1065,960.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-06-11 00:00:00,1000,1050,1025.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-06-30 00:00:00,1065,1065,1065.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-07-06 00:00:00,1020,1020,1020.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-07-29 00:00:00,905,905,905.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-08-25 00:00:00,955,1015,990.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-11-25 00:00:00,1105,1200,1150.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-12-03 00:00:00,875,1305,1200.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2010-12-09 00:00:00,1225,1300,1260.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-01-17 00:00:00,975,1100,1025.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-04-03 00:00:00,925,1015,1000.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-04-09 00:00:00,825,975,900.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-04-12 00:00:00,875,980,900.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-04-16 00:00:00,875,980,950.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-04-17 00:00:00,875,950,900.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-05-05 00:00:00,950,1060,1000.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-05-17 00:00:00,925,990,950.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-05-27 00:00:00,930,1050,980.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-06-19 00:00:00,1025,1215,1125.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-07-03 00:00:00,1150,1150,1150.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-07-05 00:00:00,1195,1245,1205.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-07-07 00:00:00,1200,1200,1200.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-07-29 00:00:00,1050,1170,1125.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-08-02 00:00:00,1185,1185,1185.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-08-14 00:00:00,1075,1185,1105.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-09-20 00:00:00,955,955,955.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-09-22 00:00:00,1125,1125,1125.0,16
Gujarat,Morbi,Vankaner,Jute,Other,FAQ,2008-09-23 00:00:00,875,875,875.0,16
