State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Surendranagar,Vadhvan,Karbuja(Musk Melon),Karbhuja,Small,2007-04-03,400.0,500.0,450.0,187
Gujarat,Surendranagar,Vadhvan,Karbuja(Musk Melon),Karbhuja,Medium,2007-04-17,300.0,450.0,375.0,187
Gujarat,Surendranagar,Vadhvan,Karbuja(Musk Melon),Karbhuja,Medium,2007-04-30,300.0,500.0,400.0,187
Gujarat,Surendranagar,Vadhvan,Karbuja(Musk Melon),Karbhuja,Medium,2007-05-03,300.0,500.0,400.0,187
Gujarat,Surendranagar,Vadhvan,Karbuja(Musk Melon),Karbhuja,Medium,2007-05-05,400.0,500.0,450.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-01-19,1100.0,1800.0,1400.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-01-21,1100.0,1800.0,1400.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-01-26,1100.0,1800.0,1400.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-02-03,1000.0,1600.0,1250.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-02-11,1000.0,1600.0,1250.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-02-26,1000.0,1600.0,1250.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-03-07,1000.0,1600.0,1250.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-03-09,1000.0,1600.0,1250.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-03-10,1000.0,1600.0,1250.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-03-12,800.0,1400.0,1000.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-03-15,800.0,1400.0,1000.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-03-17,800.0,1400.0,1000.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-03-24,600.0,1200.0,900.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-04-07,300.0,800.0,500.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-04-09,300.0,800.0,500.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-04-14,300.0,800.0,500.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-04-15,300.0,800.0,500.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-04-17,300.0,800.0,500.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-04-22,300.0,800.0,500.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-04-28,300.0,800.0,500.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-05-07,300.0,600.0,450.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-05-10,300.0,600.0,450.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-06-01,300.0,500.0,400.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-06-02,300.0,500.0,400.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-06-14,300.0,500.0,400.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-07-15,700.0,1000.0,850.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-07-23,700.0,1000.0,850.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-07-26,700.0,1000.0,850.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-08-12,600.0,800.0,700.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-09-07,600.0,1000.0,800.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-09-18,500.0,900.0,700.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-09-21,500.0,900.0,700.0,187
Gujarat,Vadodara(Baroda),Vadodara,Karbuja(Musk Melon),Other,Medium,2007-10-04,500.0,900.0,700.0,187
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Karbuja(Musk Melon),Other,Medium,2011-03-10 00:00:00,2000.0,2500.0,2250.0,187
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Karbuja(Musk Melon),Other,Medium,2011-04-27 00:00:00,800.0,1200.0,1000.0,187
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Karbuja(Musk Melon),Other,Medium,2011-04-28 00:00:00,800.0,1200.0,1000.0,187
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Karbuja(Musk Melon),Other,Medium,2011-05-14 00:00:00,700.0,1000.0,850.0,187
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Karbuja(Musk Melon),Other,Medium,2011-05-23 00:00:00,500.0,700.0,600.0,187
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Karbuja(Musk Melon),Other,Medium,2011-05-27 00:00:00,500.0,700.0,600.0,187
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Karbuja(Musk Melon),Other,Medium,2011-06-04 00:00:00,500.0,700.0,600.0,187
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Karbuja(Musk Melon),Other,Medium,2011-06-20 00:00:00,500.0,700.0,600.0,187
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Karbuja(Musk Melon),Other,Medium,2011-06-23 00:00:00,500.0,700.0,600.0,187
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Karbuja(Musk Melon),Other,Medium,2011-06-27 00:00:00,500.0,700.0,600.0,187
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Karbuja(Musk Melon),Other,Medium,2011-06-29 00:00:00,500.0,700.0,600.0,187
Gujarat,Dahod,Dahod(Veg. Market),Karbuja(Musk Melon),Other,Small,2011-06-03 00:00:00,500.0,1500.0,1200.0,187
Gujarat,Kachchh,K.Mandvi,Karbuja(Musk Melon),Other,Small,2011-06-01 00:00:00,500.0,600.0,550.0,187
Gujarat,Kachchh,K.Mandvi,Karbuja(Musk Melon),Other,Small,2011-06-04 00:00:00,500.0,800.0,700.0,187
Gujarat,Kachchh,K.Mandvi,Karbuja(Musk Melon),Other,Small,2011-06-06 00:00:00,500.0,800.0,600.0,187
Gujarat,Kachchh,K.Mandvi,Karbuja(Musk Melon),Other,Small,2011-07-04 00:00:00,500.0,550.0,525.0,187
Gujarat,Surendranagar,Vadhvan,Karbuja(Musk Melon),Karbhuja,Medium,2011-05-10 00:00:00,600.0,900.0,750.0,187
Gujarat,Surendranagar,Vadhvan,Karbuja(Musk Melon),Karbhuja,Medium,2011-06-06 00:00:00,450.0,550.0,500.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-02-05 00:00:00,1000.0,1500.0,1300.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-02-15 00:00:00,800.0,1200.0,1000.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-02-22 00:00:00,800.0,1200.0,1000.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-02-24 00:00:00,800.0,1200.0,1000.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-03-05 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-03-29 00:00:00,650.0,1050.0,900.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-04-05 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-04-08 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-04-13 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-04-17 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-04-22 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-04-25 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-04-27 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-04-29 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-04-30 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-05-08 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-05-09 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-05-10 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-05-11 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-05-16 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-05-17 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-05-20 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-05-23 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-06-03 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-06-05 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-06-09 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-06-22 00:00:00,700.0,1100.0,950.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-07-26 00:00:00,900.0,1400.0,1200.0,187
Gujarat,Vadodara(Baroda),Vadodara(Navapura),Karbuja(Musk Melon),Other,Medium,2011-08-16 00:00:00,1000.0,1200.0,1100.0,187
