State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Kheda,Nadiad,Kartali (Kantola),Other,FAQ,2007-07-19,2250.0,2750.0,2500.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2007-06-11,2500.0,4125.0,3312.5,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2007-06-20,3500.0,4000.0,3750.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2007-06-28,3500.0,4000.0,3750.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2007-07-23,2500.0,3000.0,2750.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2007-08-04,1800.0,2125.0,1962.5,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2007-08-18,3000.0,3250.0,3125.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2007-09-18,1750.0,2000.0,1875.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2007-09-20,1500.0,2000.0,1750.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2007-10-01,2000.0,2125.0,2062.5,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2007-10-05,1750.0,2000.0,1875.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2007-07-23,3000.0,3500.0,3250.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2007-08-10,1750.0,2500.0,2200.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2007-08-14,2500.0,3000.0,2800.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2007-08-21,2000.0,2500.0,2300.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2007-08-24,2500.0,3500.0,3000.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2007-09-08,2500.0,3000.0,2750.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2007-09-12,2000.0,2500.0,2300.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2007-09-13,1500.0,2000.0,1750.0,305
Gujarat,Vadodara(Baroda),Vadodara,Kartali (Kantola),Other,FAQ,2007-06-27,2000.0,3500.0,3000.0,305
Gujarat,Vadodara(Baroda),Vadodara,Kartali (Kantola),Other,FAQ,2007-06-28,2000.0,3500.0,3000.0,305
Gujarat,Vadodara(Baroda),Vadodara,Kartali (Kantola),Other,FAQ,2007-07-07,2500.0,3500.0,3000.0,305
Gujarat,Vadodara(Baroda),Vadodara,Kartali (Kantola),Other,FAQ,2007-07-08,2500.0,3500.0,3000.0,305
Gujarat,Vadodara(Baroda),Vadodara,Kartali (Kantola),Other,FAQ,2007-07-18,2500.0,3750.0,3125.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2007-07-23,2400.0,3000.0,2500.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2007-07-27,1000.0,2000.0,1400.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2007-08-06,1100.0,1800.0,1400.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2007-08-18,1500.0,2900.0,2500.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2007-08-19,1500.0,2750.0,2500.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2007-08-22,1500.0,2500.0,2000.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2007-08-25,1500.0,2500.0,2100.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2007-09-03,1000.0,1500.0,1300.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2007-09-20,1000.0,2000.0,1500.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2007-10-17,1500.0,1750.0,1600.0,305
Gujarat,Amreli,Dhari,Kartali (Kantola),Kartali (Kantola),FAQ,2020-07-20 00:00:00,2500.0,5000.0,3700.0,305
Gujarat,Amreli,Dhari,Kartali (Kantola),Kartali (Kantola),FAQ,2020-07-22 00:00:00,4000.0,4200.0,4100.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2020-07-17 00:00:00,8850.0,12450.0,12000.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2020-07-27 00:00:00,8450.0,10250.0,10000.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2020-08-09 00:00:00,8150.0,9275.0,8875.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2020-08-10 00:00:00,7250.0,8850.0,8450.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2020-08-20 00:00:00,6850.0,8450.0,8000.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2020-08-22 00:00:00,7750.0,9350.0,8875.0,305
Gujarat,Surat,Mandvi,Kartali (Kantola),Other,FAQ,2020-07-26 00:00:00,10500.0,10500.0,10500.0,305
Gujarat,Surat,Mandvi,Kartali (Kantola),Other,FAQ,2020-08-01 00:00:00,10700.0,10700.0,10700.0,305
Gujarat,Surat,Mandvi,Kartali (Kantola),Other,FAQ,2020-08-07 00:00:00,8600.0,8600.0,8600.0,305
Gujarat,Surat,S.Mandvi,Kartali (Kantola),Other,FAQ,2020-07-28 00:00:00,9150.0,9150.0,9150.0,305
Gujarat,Surat,S.Mandvi,Kartali (Kantola),Other,FAQ,2020-08-01 00:00:00,10700.0,10700.0,10700.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2020-07-18 00:00:00,3500.0,8000.0,5750.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2020-07-31 00:00:00,2000.0,6000.0,4000.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2020-08-08 00:00:00,2250.0,7000.0,4625.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2020-09-08 00:00:00,3250.0,7000.0,5125.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2020-09-23 00:00:00,10000.0,10500.0,10250.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2020-09-12 00:00:00,6750.0,7250.0,7000.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2020-06-30 00:00:00,9100.0,10000.0,9600.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2020-07-01 00:00:00,8800.0,9800.0,9500.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2020-07-24 00:00:00,6500.0,7500.0,7100.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2020-08-06 00:00:00,4500.0,5500.0,5200.0,305
Gujarat,Amreli,Dhari,Kartali (Kantola),Kartali (Kantola),FAQ,2018-07-31 00:00:00,140.0,155.0,150.0,305
Gujarat,Amreli,Dhari,Kartali (Kantola),Kartali (Kantola),FAQ,2018-08-07 00:00:00,40.0,80.0,62.0,305
Gujarat,Amreli,Dhari,Kartali (Kantola),Kartali (Kantola),FAQ,2018-09-01 00:00:00,3000.0,5000.0,4000.0,305
Gujarat,Amreli,Dhari,Kartali (Kantola),Kartali (Kantola),FAQ,2018-09-10 00:00:00,3000.0,4000.0,3600.0,305
Gujarat,Amreli,Dhari,Kartali (Kantola),Kartali (Kantola),FAQ,2018-09-12 00:00:00,2500.0,3000.0,2800.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2018-08-07 00:00:00,7500.0,10000.0,9750.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2018-08-29 00:00:00,7500.0,8800.0,8400.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2018-08-31 00:00:00,7500.0,10000.0,9250.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2018-09-10 00:00:00,8250.0,10000.0,9150.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2018-09-15 00:00:00,7750.0,10000.0,9500.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2018-09-17 00:00:00,7650.0,9450.0,9000.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2018-09-19 00:00:00,7750.0,10000.0,9500.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2018-10-13 00:00:00,7500.0,10000.0,9550.0,305
Gujarat,Kheda,Nadiyad(Piplag),Kartali (Kantola),Kartali (Kantola),FAQ,2018-08-30 00:00:00,5500.0,6000.0,5750.0,305
Gujarat,Kheda,Nadiyad(Piplag),Kartali (Kantola),Kartali (Kantola),FAQ,2018-08-31 00:00:00,5500.0,6000.0,5750.0,305
Gujarat,Kheda,Nadiyad(Piplag),Kartali (Kantola),Kartali (Kantola),FAQ,2018-09-14 00:00:00,5000.0,5600.0,5300.0,305
Gujarat,Surat,Mandvi,Kartali (Kantola),Other,FAQ,2018-08-03 00:00:00,10000.0,10000.0,10000.0,305
Gujarat,Surat,S.Mandvi,Kartali (Kantola),Other,FAQ,2018-08-19 00:00:00,7600.0,8440.0,8020.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2018-07-25 00:00:00,4000.0,11500.0,7750.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2018-07-28 00:00:00,2500.0,10000.0,6250.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2018-08-02 00:00:00,2500.0,9500.0,6000.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2018-08-05 00:00:00,2000.0,8500.0,5250.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2018-08-22 00:00:00,1000.0,4500.0,2750.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2018-08-23 00:00:00,1500.0,4500.0,3000.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2018-08-24 00:00:00,2000.0,5000.0,3500.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2018-09-10 00:00:00,1000.0,5000.0,3000.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2018-09-13 00:00:00,1000.0,4500.0,2750.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2018-09-18 00:00:00,1000.0,4000.0,2500.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2018-09-25 00:00:00,1000.0,4000.0,2500.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2018-10-05 00:00:00,1000.0,4250.0,2625.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2018-10-16 00:00:00,1500.0,4000.0,2750.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2018-07-24 00:00:00,8750.0,10250.0,9500.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2018-07-26 00:00:00,9000.0,10000.0,9500.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2018-08-03 00:00:00,6000.0,7500.0,6750.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2018-08-09 00:00:00,7000.0,7500.0,7250.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2018-08-14 00:00:00,5750.0,7250.0,6500.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2018-08-25 00:00:00,5000.0,6750.0,6000.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2018-08-28 00:00:00,5000.0,7000.0,6000.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2018-09-07 00:00:00,5000.0,7250.0,6250.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2018-09-12 00:00:00,6000.0,6500.0,6250.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2018-09-15 00:00:00,4250.0,5250.0,4750.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2018-10-13 00:00:00,5000.0,6000.0,5500.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2018-10-25 00:00:00,5500.0,6500.0,6000.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-07-02 00:00:00,6000.0,7000.0,6500.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-07-04 00:00:00,9000.0,10000.0,9550.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-07-06 00:00:00,7000.0,8000.0,7550.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-07-14 00:00:00,7000.0,9000.0,8050.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-07-20 00:00:00,8000.0,8500.0,8250.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-07-25 00:00:00,8000.0,10000.0,9050.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-07-27 00:00:00,7000.0,8000.0,7550.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-07-29 00:00:00,7000.0,8000.0,7550.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-08-10 00:00:00,4500.0,7500.0,6050.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-08-12 00:00:00,4500.0,7500.0,6050.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-08-13 00:00:00,5000.0,8000.0,6550.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-08-16 00:00:00,5000.0,6500.0,5800.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-08-17 00:00:00,5000.0,6500.0,5800.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-08-24 00:00:00,4000.0,5000.0,4550.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-09-15 00:00:00,4000.0,4500.0,4300.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-09-16 00:00:00,4000.0,4500.0,4300.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-09-24 00:00:00,3000.0,3300.0,3175.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-09-30 00:00:00,3500.0,4250.0,3900.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-10-12 00:00:00,5000.0,5500.0,5300.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-10-29 00:00:00,4000.0,5000.0,4550.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-10-30 00:00:00,4000.0,5000.0,4550.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2018-10-31 00:00:00,4000.0,5000.0,4550.0,305
Gujarat,Bharuch,Ankleshwar,Kartali (Kantola),Kartali (Kantola),FAQ,2021-07-17 00:00:00,7350.0,8950.0,8500.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-06-28 00:00:00,5500.0,9000.0,7250.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-06-30 00:00:00,5500.0,12000.0,8750.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-07-06 00:00:00,5000.0,9000.0,7000.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-07-13 00:00:00,3250.0,8000.0,5625.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-07-26 00:00:00,2500.0,7500.0,5000.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-07-29 00:00:00,3000.0,8500.0,5750.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-08-09 00:00:00,2750.0,8500.0,5625.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-08-12 00:00:00,2250.0,8500.0,5375.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-08-14 00:00:00,3000.0,8500.0,5750.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-08-19 00:00:00,2000.0,5000.0,3500.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-09-21 00:00:00,3250.0,7500.0,5375.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-09-23 00:00:00,6000.0,9000.0,7500.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-09-25 00:00:00,3500.0,7500.0,5500.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-10-08 00:00:00,7500.0,9000.0,8250.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-10-09 00:00:00,7250.0,9000.0,8125.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-10-23 00:00:00,8000.0,9000.0,8500.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-11-12 00:00:00,7000.0,9000.0,8000.0,305
Gujarat,Surat,Surat,Kartali (Kantola),Other,FAQ,2021-11-13 00:00:00,5500.0,9000.0,7250.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2021-09-10 00:00:00,4500.0,6500.0,5500.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2021-09-25 00:00:00,4000.0,7000.0,5500.0,305
Gujarat,Vadodara(Baroda),Padra,Kartali (Kantola),Other,FAQ,2021-09-27 00:00:00,5500.0,6500.0,6000.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2021-06-27 00:00:00,9000.0,10000.0,9550.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2021-06-28 00:00:00,9500.0,10000.0,9800.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2021-07-08 00:00:00,10000.0,11000.0,10550.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2021-07-09 00:00:00,10000.0,11000.0,10550.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2021-07-22 00:00:00,10000.0,11000.0,10550.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2021-07-29 00:00:00,7000.0,8000.0,7550.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2021-07-30 00:00:00,8000.0,9000.0,8550.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2021-08-11 00:00:00,6000.0,7500.0,7050.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2021-09-03 00:00:00,5000.0,7000.0,6050.0,305
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Kartali (Kantola),Other,FAQ,2021-09-14 00:00:00,4000.0,5000.0,4550.0,305
