State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2018-01-17,2400,3300,2900.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2018-01-19,2500,3400,3000.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2018-01-20,2600,3400,3000.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2018-01-30,2500,3400,3000.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2018-02-05,2800,3500,3200.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2018-02-14,2600,3500,3100.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2018-02-17,2500,3200,3000.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2018-02-19,2500,3500,3000.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2018-02-21,2700,3500,3200.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2018-03-03,2400,3500,3000.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2018-12-31,2400,3500,3000.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2018-01-02,2400,3000,2700.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2018-01-05,2400,3000,2700.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2018-01-18,2500,2900,2900.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2018-01-27,2500,3500,3000.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2018-02-15,2700,3500,3100.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2018-02-16,2800,3500,3200.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2018-02-19,2500,3500,3000.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2018-02-20,2600,3500,3100.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2018-02-21,2700,3500,3200.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2018-02-23,2400,3500,3000.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2018-02-26,2500,3500,3000.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2018-03-17,3500,4000,3800.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2018-11-29,3000,4000,3500.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2018-12-04,3200,3800,3500.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Small,2015-01-06 00:00:00,2000,2500,2300.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Small,2015-01-30 00:00:00,1500,2500,2200.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-02-12 00:00:00,1200,2200,1800.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-02-19 00:00:00,1200,1800,1600.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-02-24 00:00:00,1000,1200,1200.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-02-26 00:00:00,1200,1800,1600.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-02-28 00:00:00,1200,1600,1500.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-03-07 00:00:00,1500,2000,1800.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-03-10 00:00:00,1500,2000,1800.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-03-12 00:00:00,1500,2000,1800.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-03-19 00:00:00,1500,2000,1800.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-03-26 00:00:00,1800,2200,2100.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-04-04 00:00:00,1500,2200,2000.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-04-08 00:00:00,1500,2000,1800.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-04-09 00:00:00,1500,2000,1800.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-04-15 00:00:00,1500,1800,1700.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-12-03 00:00:00,1500,2500,2000.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-12-05 00:00:00,1500,2500,2000.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-12-12 00:00:00,1500,2200,2000.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-12-14 00:00:00,1500,2000,1800.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-12-15 00:00:00,1500,2000,1800.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-12-21 00:00:00,1200,1800,1500.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-12-23 00:00:00,1200,1800,1500.0,336
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Kinnow,Other,Medium,2015-12-31 00:00:00,1200,1500,1400.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Small,2015-01-21 00:00:00,2000,3000,2800.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Small,2015-02-05 00:00:00,1500,2500,2200.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2015-02-12 00:00:00,1200,2200,1800.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2015-02-13 00:00:00,1500,2200,2000.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2015-02-18 00:00:00,1200,1800,1600.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2015-02-24 00:00:00,1000,1200,1200.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2015-02-28 00:00:00,1200,1600,1500.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2015-03-03 00:00:00,1200,1600,1500.0,336
Gujarat,Ahmedabad,Ahmedabad(Manekchowk),Kinnow,Other,Medium,2015-03-05 00:00:00,1500,2000,1800.0,336
