State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Junagarh,Junagadh,Knool Khol,Knool Khol,FAQ,2010-05-04,220,240,230.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Knool Khol,FAQ,2010-05-06,300,360,330.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Knool Khol,FAQ,2010-05-08,350,480,405.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-05-27,240,270,255.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-05-28,250,320,285.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-05-29,280,350,315.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-05-31,350,420,385.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-02,350,400,375.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-03,280,350,315.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-07,380,450,415.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-03,1800,2250,2025.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-22,1000,1200,1100.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-08-26,1000,1200,1100.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Knool Khol,FAQ,2010-05-11 00:00:00,200,220,210.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-08 00:00:00,2250,2600,2425.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-12 00:00:00,2200,2600,2400.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-28 00:00:00,1750,2000,1875.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-07 00:00:00,1400,1750,1525.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-08-02 00:00:00,1400,1750,1625.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Knool Khol,FAQ,2010-05-07 00:00:00,250,280,265.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Knool Khol,FAQ,2010-05-12 00:00:00,400,460,430.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-05-26 00:00:00,260,320,290.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-25 00:00:00,1200,1400,1300.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-19 00:00:00,1400,1750,1575.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-23 00:00:00,2000,2500,2250.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-27 00:00:00,800,1200,1000.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Knool Khol,FAQ,2010-05-03 00:00:00,400,425,410.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Knool Khol,FAQ,2010-05-13 00:00:00,240,300,270.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-05-25 00:00:00,280,310,295.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-01 00:00:00,290,320,305.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-05 00:00:00,400,440,420.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-15 00:00:00,1750,2500,2125.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-16 00:00:00,1750,2125,1950.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-30 00:00:00,2000,2500,2250.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-01 00:00:00,1250,1500,1325.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-02 00:00:00,2250,2500,2375.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-10 00:00:00,1400,1800,1600.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-17 00:00:00,1200,1500,1350.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-21 00:00:00,1250,1400,1325.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-26 00:00:00,1250,1400,1325.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-29 00:00:00,1250,1400,1325.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Knool Khol,FAQ,2010-05-05 00:00:00,320,360,340.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-04 00:00:00,350,410,385.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-11 00:00:00,2400,2750,2575.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-21 00:00:00,2250,2900,2575.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-23 00:00:00,1750,2000,1875.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-24 00:00:00,1600,1900,1750.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-26 00:00:00,2000,2300,2150.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-06-29 00:00:00,1250,1600,1450.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-20 00:00:00,1250,1400,1300.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-24 00:00:00,1250,1400,1300.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-07-31 00:00:00,1300,1500,1400.0,177
Gujarat,Junagarh,Junagadh,Knool Khol,Other,FAQ,2010-09-14 00:00:00,1200,1400,1300.0,177
