State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Bharuch,Ankleshwar,Little gourd (Kundru),Other,FAQ,2007-10-05,1400.0,1535.0,1445.0,302
Gujarat,Bharuch,Ankleshwar,Little gourd (Kundru),Other,FAQ,2007-10-06,1365.0,1500.0,1410.0,302
Gujarat,Bharuch,Ankleshwar,Little gourd (Kundru),Other,FAQ,2007-10-18,1350.0,1575.0,1440.0,302
Gujarat,Dahod,Dahod,Little gourd (Kundru),Other,FAQ,2007-04-09,1000.0,1200.0,1100.0,302
Gujarat,Dahod,Dahod,Little gourd (Kundru),Other,FAQ,2007-05-17,250.0,500.0,400.0,302
Gujarat,Dahod,Dahod,Little gourd (Kundru),Other,FAQ,2007-05-21,200.0,700.0,450.0,302
Gujarat,Dahod,Dahod,Little gourd (Kundru),Other,FAQ,2007-05-22,200.0,600.0,400.0,302
Gujarat,Dahod,Dahod,Little gourd (Kundru),Other,FAQ,2007-05-25,300.0,500.0,400.0,302
Gujarat,Dahod,Dahod,Little gourd (Kundru),Other,FAQ,2007-05-30,300.0,800.0,550.0,302
Gujarat,Dahod,Dahod,Little gourd (Kundru),Other,FAQ,2007-06-09,250.0,600.0,500.0,302
Gujarat,Dahod,Dahod,Little gourd (Kundru),Other,FAQ,2007-06-11,250.0,700.0,600.0,302
Gujarat,Dahod,Dahod,Little gourd (Kundru),Other,FAQ,2007-06-15,300.0,800.0,700.0,302
Gujarat,Dahod,Dahod,Little gourd (Kundru),Other,FAQ,2007-07-07,500.0,1000.0,900.0,302
Gujarat,Dahod,Dahod,Little gourd (Kundru),Other,FAQ,2007-07-26,400.0,900.0,700.0,302
Gujarat,Dahod,Dahod,Little gourd (Kundru),Other,FAQ,2007-07-28,300.0,800.0,700.0,302
Gujarat,Dahod,Dahod,Little gourd (Kundru),Other,FAQ,2007-08-06,400.0,700.0,500.0,302
Gujarat,Dahod,Dahod(Veg. Market),Little gourd (Kundru),Other,FAQ,2007-09-01,300.0,700.0,500.0,302
Gujarat,Dahod,Dahod(Veg. Market),Little gourd (Kundru),Other,FAQ,2007-11-16,400.0,800.0,600.0,302
Gujarat,Dahod,Dahod(Veg. Market),Little gourd (Kundru),Other,FAQ,2007-11-23,500.0,800.0,700.0,302
Gujarat,Dahod,Dahod(Veg. Market),Little gourd (Kundru),Other,FAQ,2007-12-12,700.0,1000.0,900.0,302
Gujarat,Dahod,Dahod(Veg. Market),Little gourd (Kundru),Other,FAQ,2007-12-24,600.0,1000.0,900.0,302
Gujarat,Dahod,Dahod(Veg. Market),Little gourd (Kundru),Other,FAQ,2007-12-26,600.0,800.0,800.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-01-06,500.0,1250.0,875.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-01-09,750.0,1300.0,1025.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-01-31,500.0,1000.0,750.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-02-19,750.0,1300.0,1025.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-02-28,1000.0,1100.0,1050.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-03-07,750.0,1300.0,1025.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-03-30,750.0,1300.0,1025.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-04-13,750.0,1500.0,1125.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-05-11,400.0,1000.0,700.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-05-14,500.0,1250.0,875.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-06-13,500.0,1750.0,1125.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-06-26,500.0,1600.0,1050.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-07-16,1250.0,2100.0,1675.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-11-06,500.0,900.0,700.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-11-14,500.0,2000.0,1250.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-11-30,500.0,2100.0,1300.0,302
Gujarat,Surat,Surat,Little gourd (Kundru),Other,FAQ,2007-12-05,500.0,1750.0,1125.0,302
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,2007-01-06,400.0,500.0,450.0,302
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,2007-01-19,600.0,700.0,650.0,302
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,2007-01-24,600.0,800.0,700.0,302
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,2007-01-25,500.0,800.0,700.0,302
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,2007-02-08,250.0,600.0,425.0,302
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,2007-02-12,300.0,700.0,500.0,302
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,2007-02-13,250.0,600.0,400.0,302
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,2007-02-19,300.0,600.0,450.0,302
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,2007-02-23,500.0,600.0,550.0,302
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,2007-02-27,350.0,700.0,500.0,302
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,2007-03-07,500.0,800.0,650.0,302
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,2007-03-14,600.0,900.0,750.0,302
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,2007-03-15,400.0,500.0,450.0,302
