State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Amreli,Dhari,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2007-03-19,700.0,840.0,750.0,172
Gujarat,Amreli,Dhari,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2007-03-28,200.0,850.0,500.0,172
Gujarat,Amreli,Dhari,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2007-04-24,250.0,400.0,300.0,172
Gujarat,Amreli,Dhari,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2007-05-08,400.0,750.0,450.0,172
Gujarat,Anand,Khambhat,Mango (Raw-Ripe),Other,FAQ,2007-05-01,700.0,1000.0,888.0,172
Gujarat,Anand,Khambhat,Mango (Raw-Ripe),Other,FAQ,2007-05-04,700.0,1000.0,888.0,172
Gujarat,Anand,Khambhat,Mango (Raw-Ripe),Other,FAQ,2007-05-09,700.0,900.0,777.0,172
Gujarat,Anand,Khambhat,Mango (Raw-Ripe),Other,FAQ,2007-05-18,700.0,900.0,780.0,172
Gujarat,Anand,Khambhat,Mango (Raw-Ripe),Other,FAQ,2007-05-19,700.0,900.0,780.0,172
Gujarat,Anand,Khambhat,Mango (Raw-Ripe),Other,FAQ,2007-06-07,1000.0,1020.0,1010.0,172
Gujarat,Anand,Khambhat,Mango (Raw-Ripe),Other,FAQ,2007-06-12,1000.0,1020.0,1010.0,172
Gujarat,Anand,Khambhat,Mango (Raw-Ripe),Other,FAQ,2007-06-18,1000.0,1020.0,1010.0,172
Gujarat,Anand,Khambhat,Mango (Raw-Ripe),Other,FAQ,2007-06-23,1000.0,1020.0,1010.0,172
Gujarat,Anand,Khambhat,Mango (Raw-Ripe),Other,FAQ,2007-06-26,1000.0,1020.0,1010.0,172
Gujarat,Anand,Khambhat,Mango (Raw-Ripe),Other,FAQ,2007-06-29,500.0,950.0,805.0,172
Gujarat,Anand,Khambhat,Mango (Raw-Ripe),Other,FAQ,2007-07-03,800.0,1000.0,900.0,172
Gujarat,Anand,Khambhat,Mango (Raw-Ripe),Other,FAQ,2007-07-10,800.0,1000.0,925.0,172
Gujarat,Bharuch,Ankleshwar,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2007-04-11,1730.0,2000.0,1775.0,172
Gujarat,Bharuch,Ankleshwar,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2007-04-24,1500.0,1680.0,1635.0,172
Gujarat,Bharuch,Ankleshwar,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2007-04-26,1520.0,1700.0,1565.0,172
Gujarat,Bharuch,Ankleshwar,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2007-05-08,1250.0,1700.0,1655.0,172
Gujarat,Bharuch,Ankleshwar,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2007-05-15,1050.0,1365.0,1275.0,172
Gujarat,Bharuch,Ankleshwar,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2007-05-31,1750.0,2200.0,2065.0,172
Gujarat,Bharuch,Ankleshwar,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2007-06-06,1950.0,2400.0,2175.0,172
Gujarat,Bharuch,Ankleshwar,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2007-06-08,1250.0,1430.0,1295.0,172
Gujarat,Surat,Surat,Mango (Raw-Ripe),Other,FAQ,2007-04-05,1100.0,3000.0,2050.0,172
Gujarat,Surat,Surat,Mango (Raw-Ripe),Other,FAQ,2007-04-07,1000.0,1750.0,1375.0,172
Gujarat,Surat,Surat,Mango (Raw-Ripe),Other,FAQ,2007-04-26,1400.0,3250.0,2325.0,172
Gujarat,Surat,Surat,Mango (Raw-Ripe),Other,FAQ,2007-05-12,1250.0,2350.0,1800.0,172
Gujarat,Surat,Surat,Mango (Raw-Ripe),Other,FAQ,2007-05-15,1400.0,2750.0,2075.0,172
Gujarat,Surat,Surat,Mango (Raw-Ripe),Other,FAQ,2007-05-19,1400.0,2250.0,1825.0,172
Gujarat,Surat,Surat,Mango (Raw-Ripe),Other,FAQ,2007-05-29,1400.0,2250.0,1825.0,172
Gujarat,Surat,Surat,Mango (Raw-Ripe),Other,FAQ,2007-05-30,1400.0,2500.0,1950.0,172
Gujarat,Surat,Surat,Mango (Raw-Ripe),Other,FAQ,2007-05-31,1400.0,2500.0,1950.0,172
Gujarat,Surat,Surat,Mango (Raw-Ripe),Other,FAQ,2007-06-08,1400.0,2750.0,2075.0,172
Gujarat,Surat,Surat,Mango (Raw-Ripe),Other,FAQ,2007-06-12,1600.0,3000.0,2300.0,172
Gujarat,Surat,Surat,Mango (Raw-Ripe),Other,FAQ,2007-06-15,2000.0,4500.0,3250.0,172
