State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-01-01,3600.0,4100.0,3900.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-01-11,3800.0,4500.0,4200.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-01-17,2500.0,3200.0,3000.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-01-18,2500.0,3500.0,3000.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-01-19,2500.0,3500.0,3000.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-01-31,3000.0,3600.0,3300.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-02-11,2800.0,3500.0,3200.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-02-14,3000.0,4000.0,3500.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-02-20,2900.0,3500.0,3200.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-02-21,3000.0,3500.0,3300.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-02-26,3200.0,4000.0,3600.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-03-12,3300.0,4200.0,3900.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-03-16,3500.0,4350.0,4100.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-03-23,3500.0,4350.0,4100.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-04-16,3500.0,4000.0,3900.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-05-14,4000.0,5000.0,4800.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-05-17,3000.0,4000.0,3500.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-05-21,3000.0,4000.0,3500.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-05-24,4000.0,4500.0,4300.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-06-06,4000.0,4200.0,4100.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-06-08,4000.0,4400.0,4200.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-06-22,3000.0,4000.0,3600.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-06-28,3500.0,4000.0,3800.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-07-22,4000.0,4500.0,4300.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-07-23,4000.0,4400.0,4200.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-07-31,3500.0,4000.0,3800.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-08-26,3500.0,4000.0,3800.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-09-16,3000.0,4000.0,3800.0,77
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Mousambi(Sweet Lime),Other,Medium,2019-11-02,3000.0,4000.0,3500.0,77
