State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-01-04,2550.0,2630.0,2590.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-01-05,2650.0,2650.0,2650.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-01-24,2620.0,2645.0,2632.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-01-30,2620.0,2660.0,2640.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-02-11,2650.0,2650.0,2650.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-02-13,2745.0,2790.0,2768.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-03-04,3015.0,3020.0,3018.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-03-22,3660.0,3660.0,3660.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-04-22,2960.0,2960.0,2960.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-04-27,2720.0,2720.0,2720.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-05-19,3070.0,3070.0,3070.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-06-26,2205.0,2205.0,2205.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-06-29,2910.0,2910.0,2910.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-07-02,2430.0,2430.0,2430.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-07-03,2430.0,2430.0,2430.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-09-24,2510.0,2800.0,2655.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-10-03,3005.0,3005.0,3005.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-10-06,3000.0,3000.0,3000.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-10-16,3000.0,3230.0,3115.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-10-27,2455.0,2605.0,2530.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-11-04,2755.0,2755.0,2755.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-11-07,2755.0,2755.0,2755.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-11-14,2950.0,2950.0,2950.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-11-28,2750.0,3135.0,2942.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-12-01,2755.0,2950.0,2850.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-12-08,2800.0,2955.0,2877.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-12-23,2500.0,2930.0,2915.0,97
Gujarat,Ahmedabad,Sanad,Other Pulses,Other,FAQ,2006-12-27,2825.0,2930.0,2877.0,97
Gujarat,Amreli,Amreli,Other Pulses,Other,FAQ,2006-08-29,640.0,2000.0,2000.0,97
Gujarat,Amreli,Amreli,Other Pulses,Other,FAQ,2006-09-08,1250.0,3255.0,2700.0,97
