State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-09-09,1800,1950,1875.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-09-18,1800,1950,1875.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-09-24,1800,1950,1875.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-30 00:00:00,1560,1780,1670.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-18 00:00:00,1800,1950,1875.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-14 00:00:00,1560,1890,1670.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-15 00:00:00,1850,2000,1925.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-16 00:00:00,1800,1950,1875.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-04 00:00:00,1800,1950,1875.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-05 00:00:00,1560,1780,1600.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-12-04 00:00:00,2160,2350,2250.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-12-19 00:00:00,1690,2060,1790.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-12-24 00:00:00,1850,2050,1950.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-12-31 00:00:00,1850,2030,1950.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-11-20 00:00:00,1650,2100,1850.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-11-21 00:00:00,1890,2190,2000.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-11-22 00:00:00,1670,2150,1890.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-11-25 00:00:00,1900,2230,2150.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-11-27 00:00:00,2150,2390,2250.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-11-08 00:00:00,1690,2090,1890.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-11-12 00:00:00,1800,1950,1875.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-07 00:00:00,2000,2150,2075.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-25 00:00:00,1750,1800,1775.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-21 00:00:00,1490,1890,1570.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-17 00:00:00,1800,1950,1875.0,414
Gujarat,Surat,Mandvi,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-19 00:00:00,1700,2060,1880.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-11-05 00:00:00,1560,1890,1680.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-11-19 00:00:00,1560,2130,1670.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-11-28 00:00:00,2150,2390,2250.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-11-29 00:00:00,2150,2350,2250.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-11-30 00:00:00,2150,2350,2250.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-12-06 00:00:00,2150,2370,2250.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-12-07 00:00:00,2150,2430,2250.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-12-13 00:00:00,1950,2100,2025.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-12-23 00:00:00,1850,2050,1950.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-11-14 00:00:00,1450,1890,1570.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-23 00:00:00,1590,1980,1670.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-10 00:00:00,1800,1950,1875.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-03 00:00:00,1800,1950,1875.0,414
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-22 00:00:00,1800,1950,1875.0,414
Gujarat,Surat,Mandvi,Paddy(Dhan)(Basmati),1121,FAQ,2024-10-17 00:00:00,1700,2060,1880.0,414
