State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Dahod,Jhalod,Paddy(Dhan)(Common),Other,FAQ,2007-12-07,500.0,550.0,525.0,2
Gujarat,Dahod,Jhalod,Paddy(Dhan)(Common),Other,FAQ,2007-12-14,550.0,600.0,575.0,2
Gujarat,Dahod,Limkheda,Paddy(Dhan)(Common),Other,FAQ,2007-02-28,525.0,600.0,580.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-01-11,740.0,750.0,745.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-01-13,725.0,750.0,737.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-01-18,740.0,750.0,745.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-01-24,740.0,750.0,745.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-01-25,685.0,750.0,717.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-01-27,735.0,745.0,740.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-02-01,735.0,740.0,738.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-02-10,675.0,700.0,688.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-02-12,650.0,660.0,655.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-02-14,650.0,700.0,675.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-02-20,595.0,675.0,635.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-02-27,650.0,675.0,668.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-03-07,650.0,665.0,658.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-03-21,625.0,650.0,637.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-03-22,625.0,650.0,638.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-04-06,625.0,675.0,650.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-04-11,650.0,675.0,668.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-04-12,725.0,800.0,763.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-04-14,675.0,700.0,688.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-04-18,650.0,675.0,668.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-04-30,625.0,675.0,650.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-05-01,640.0,675.0,658.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-05-02,625.0,650.0,638.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-05-17,675.0,700.0,688.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-05-21,625.0,700.0,663.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-06-23,740.0,750.0,745.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-07-13,725.0,750.0,738.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-07-18,710.0,750.0,730.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-07-27,700.0,750.0,725.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-08-03,700.0,750.0,725.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-08-04,725.0,750.0,738.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-08-10,700.0,750.0,725.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-08-20,700.0,750.0,725.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-08-24,700.0,750.0,725.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-09-01,700.0,725.0,713.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-09-06,605.0,700.0,653.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-09-07,625.0,750.0,688.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-09-11,650.0,700.0,675.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-09-18,650.0,700.0,675.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-09-28,650.0,700.0,675.0,2
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,2007-10-09,615.0,635.0,625.0,2
