State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Amreli,Dhari,Papaya,Papaya,Medium,2007-09-18,200.0,200.0,200.0,72
Gujarat,Amreli,Dhari,Papaya,Papaya,Medium,2007-10-23,400.0,1000.0,750.0,72
Gujarat,Amreli,Dhari,Papaya,Papaya,Medium,2007-10-29,1000.0,1000.0,1000.0,72
Gujarat,Amreli,Dhari,Papaya,Papaya,Medium,2007-12-04,1000.0,1000.0,1000.0,72
Gujarat,Amreli,Dhari,Papaya,Papaya,Medium,2007-12-17,500.0,500.0,500.0,72
Gujarat,Amreli,Dhari,Papaya,Papaya,Medium,2007-12-19,750.0,750.0,750.0,72
Gujarat,Bharuch,Bharuch,Papaya,Other,Large,2007-01-06,350.0,500.0,425.0,72
Gujarat,Bharuch,Bharuch,Papaya,Other,Large,2007-01-15,350.0,500.0,425.0,72
Gujarat,Bharuch,Bharuch,Papaya,Other,Large,2007-01-17,350.0,450.0,400.0,72
Gujarat,Bharuch,Bharuch,Papaya,Other,Large,2007-01-19,350.0,500.0,425.0,72
Gujarat,Bharuch,Bharuch,Papaya,Other,Large,2007-01-21,400.0,500.0,450.0,72
Gujarat,Bharuch,Bharuch,Papaya,Other,Large,2007-02-01,350.0,450.0,400.0,72
Gujarat,Bharuch,Bharuch,Papaya,Other,Medium,2007-07-14,400.0,600.0,500.0,72
Gujarat,Bharuch,Bharuch,Papaya,Other,Medium,2007-07-24,400.0,600.0,500.0,72
Gujarat,Bharuch,Bharuch,Papaya,Other,Medium,2007-08-11,350.0,500.0,425.0,72
Gujarat,Bharuch,Bharuch,Papaya,Other,Medium,2007-08-15,350.0,500.0,425.0,72
Gujarat,Bharuch,Bharuch,Papaya,Other,Medium,2007-08-25,500.0,700.0,600.0,72
Gujarat,Bharuch,Bharuch,Papaya,Other,FAQ,2007-10-21,300.0,500.0,400.0,72
Gujarat,Bharuch,Bharuch,Papaya,Other,FAQ,2007-12-03,350.0,500.0,425.0,72
Gujarat,Gir Somnath,Una,Papaya,Other,Medium,2007-03-02,900.0,1000.0,950.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-02-08,300.0,800.0,500.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-03-08,300.0,800.0,500.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-03-09,300.0,800.0,500.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-03-10,300.0,800.0,500.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-03-12,300.0,800.0,500.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-03-18,300.0,800.0,500.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-03-23,300.0,800.0,500.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-04-02,300.0,800.0,500.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-04-08,300.0,650.0,450.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-04-10,300.0,650.0,450.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-04-14,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-04-21,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-04-23,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-04-27,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-04-28,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-05-03,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-05-05,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-05-14,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-05-23,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-06-05,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-06-14,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-06-20,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-06-22,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-06-25,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-06-28,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-07-18,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-07-30,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-08-02,300.0,600.0,400.0,72
Gujarat,Vadodara(Baroda),Vadodara,Papaya,Other,Medium,2007-08-05,300.0,600.0,400.0,72
