State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-07-27,800,1500,1150.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-07-30,1000,1100,1050.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-08-03,500,700,600.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-08-07,500,600,550.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-08-21,800,1000,900.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-09-03,2200,2500,2350.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-09-06,1200,1400,1300.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-09-11,1200,1500,1350.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2013-08-16 00:00:00,1000,1200,1100.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2010-06-30 00:00:00,1000,1500,1250.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2010-07-27 00:00:00,900,1000,950.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2010-07-30 00:00:00,1000,1500,1250.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2010-08-02 00:00:00,1000,1300,1150.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2010-08-10 00:00:00,1000,1200,1100.0,330
Gujarat,Junagarh,Junagadh,Pear(Marasebu),Other,Medium,2010-06-21 00:00:00,2000,2750,2375.0,330
Gujarat,Junagarh,Junagadh,Pear(Marasebu),Other,Medium,2010-06-29 00:00:00,600,1250,925.0,330
Gujarat,Junagarh,Junagadh,Pear(Marasebu),Other,Medium,2010-07-07 00:00:00,1200,2400,1800.0,330
Gujarat,Junagarh,Junagadh,Pear(Marasebu),Other,Medium,2010-07-21 00:00:00,1250,1750,1500.0,330
Gujarat,Junagarh,Junagadh,Pear(Marasebu),Other,Medium,2010-07-22 00:00:00,1500,1700,1650.0,330
Gujarat,Junagarh,Junagadh,Pear(Marasebu),Other,Medium,2010-07-24 00:00:00,1250,1500,1325.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2011-07-26 00:00:00,1000,1200,1100.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2011-07-21 00:00:00,1000,1500,1250.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-08-14 00:00:00,1000,1500,1250.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-08-23 00:00:00,1000,1500,1250.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-09-05 00:00:00,1700,1900,1800.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-09-22 00:00:00,1200,1400,1300.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-09-27 00:00:00,1500,1700,1600.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-11-03 00:00:00,1000,1500,1250.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2013-07-30 00:00:00,1650,2050,1850.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2010-07-22 00:00:00,800,1000,900.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2010-08-14 00:00:00,1000,1100,1050.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2010-08-28 00:00:00,1500,1600,1550.0,330
Gujarat,Junagarh,Junagadh,Pear(Marasebu),Other,Medium,2010-07-01 00:00:00,1500,2500,2000.0,330
Gujarat,Junagarh,Junagadh,Pear(Marasebu),Other,Medium,2010-07-19 00:00:00,1000,1200,1100.0,330
Gujarat,Junagarh,Junagadh,Pear(Marasebu),Other,Medium,2010-07-20 00:00:00,2125,2750,2555.0,330
Gujarat,Junagarh,Junagadh,Pear(Marasebu),Other,Medium,2010-07-27 00:00:00,1250,1750,1500.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-07-25 00:00:00,800,1000,900.0,330
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pear(Marasebu),Other,Medium,2012-08-04 00:00:00,500,600,550.0,330
