State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Bharuch,Bharuch,Pomegranate,Other,Small,2007-05-17,1500.0,2000.0,1750.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,Medium,2007-06-28,2000.0,2500.0,2250.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,Medium,2007-08-08,1000.0,2000.0,1500.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,Medium,2007-08-23,1000.0,1500.0,1250.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,Medium,2007-08-25,800.0,1500.0,1150.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,FAQ,2007-10-08,1500.0,2000.0,1750.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,FAQ,2007-10-09,1300.0,2000.0,1625.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,FAQ,2007-10-11,1500.0,2000.0,1750.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,FAQ,2007-10-13,1500.0,2000.0,1750.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,FAQ,2007-10-18,1000.0,2000.0,1500.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,FAQ,2007-10-21,1000.0,2000.0,1500.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,FAQ,2007-10-26,1000.0,1800.0,1400.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,FAQ,2007-11-01,1000.0,1800.0,1400.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,FAQ,2007-11-02,1000.0,1800.0,1400.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,FAQ,2007-11-16,1500.0,2000.0,1750.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,FAQ,2007-12-01,1500.0,2000.0,1750.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,FAQ,2007-12-03,1500.0,2000.0,1750.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,FAQ,2007-12-05,1500.0,2000.0,1750.0,190
Gujarat,Bharuch,Bharuch,Pomegranate,Other,FAQ,2007-12-11,1500.0,2000.0,1750.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-01-06,700.0,2000.0,1600.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-01-09,700.0,2000.0,1150.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-02-02,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-02-09,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-02-10,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-02-19,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-03-01,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-03-12,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-03-19,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-03-24,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-03-26,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-04-08,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-05-04,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-05-10,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-05-13,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-05-16,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-05-19,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-05-23,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-05-30,750.0,1850.0,1250.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-06-09,800.0,1400.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-06-13,700.0,1400.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-07-02,700.0,1400.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-07-05,700.0,1400.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-07-08,700.0,1400.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-07-15,700.0,1400.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-07-16,700.0,1400.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-07-18,700.0,1400.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-07-25,700.0,1400.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-07-28,700.0,1400.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-08-05,700.0,1400.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-08-14,700.0,1400.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-08-21,700.0,1400.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-08-24,800.0,1800.0,1200.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-09-11,700.0,1500.0,900.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-09-12,700.0,1500.0,900.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-09-22,700.0,1500.0,900.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-09-23,700.0,1500.0,900.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-09-26,700.0,1500.0,900.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-09-28,700.0,1500.0,900.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-10-08,800.0,1600.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-10-11,800.0,1600.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-10-13,800.0,1600.0,1100.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-10-27,700.0,2500.0,1550.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-11-30,800.0,2500.0,1400.0,190
Gujarat,Vadodara(Baroda),Vadodara,Pomegranate,Other,Medium,2007-12-01,800.0,2500.0,1400.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-01-10 00:00:00,7000.0,12000.0,11000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-01-18 00:00:00,8000.0,13000.0,11000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-01-20 00:00:00,10000.0,14000.0,13000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-01-25 00:00:00,8000.0,15000.0,13000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-01-29 00:00:00,8000.0,14000.0,12000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-02-04 00:00:00,8000.0,14000.0,12000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-02-05 00:00:00,7000.0,13000.0,11000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-02-11 00:00:00,8000.0,15000.0,13000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-02-12 00:00:00,8000.0,15000.0,12000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-02-24 00:00:00,10000.0,16000.0,14000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-02-25 00:00:00,8000.0,15000.0,12500.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-02-26 00:00:00,8000.0,14000.0,12000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-03-14 00:00:00,7000.0,12000.0,10000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-03-18 00:00:00,8000.0,12000.0,11000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-03-22 00:00:00,8000.0,14000.0,12000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-04-02 00:00:00,8000.0,15000.0,13000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-04-11 00:00:00,13000.0,15000.0,14000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-04-28 00:00:00,6000.0,14000.0,11000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-04-30 00:00:00,6000.0,14000.0,10200.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-05-06 00:00:00,10000.0,14000.0,13000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-05-10 00:00:00,6000.0,10000.0,8500.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-05-24 00:00:00,6000.0,10000.0,9000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-06-02 00:00:00,4000.0,8000.0,6500.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-06-08 00:00:00,3000.0,6000.0,5000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-06-16 00:00:00,6000.0,8000.0,7500.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-06-18 00:00:00,4000.0,8000.0,7000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-06-20 00:00:00,4000.0,6000.0,5500.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-06-24 00:00:00,3000.0,4000.0,3800.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-07-02 00:00:00,4000.0,7000.0,6000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-07-08 00:00:00,6000.0,8000.0,7500.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-07-26 00:00:00,4000.0,8000.0,6000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-08-06 00:00:00,4000.0,10000.0,7000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-08-17 00:00:00,6000.0,8000.0,7000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-08-18 00:00:00,6000.0,8000.0,7000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-08-20 00:00:00,6000.0,8000.0,7000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-09-01 00:00:00,6000.0,8000.0,7000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-09-02 00:00:00,6000.0,8000.0,7000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-09-03 00:00:00,4000.0,10000.0,7000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-09-05 00:00:00,4000.0,10000.0,7000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-09-20 00:00:00,4000.0,8000.0,6000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-09-23 00:00:00,4000.0,8000.0,6000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-09-30 00:00:00,6000.0,10000.0,8000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-10-14 00:00:00,6000.0,8000.0,7000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-10-17 00:00:00,8000.0,10000.0,9500.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-10-18 00:00:00,8000.0,10000.0,9500.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-10-20 00:00:00,6000.0,10000.0,9000.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-11-04 00:00:00,8000.0,12000.0,10500.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-11-09 00:00:00,6000.0,10000.0,8500.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-11-29 00:00:00,6000.0,10000.0,8500.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-12-01 00:00:00,4000.0,8000.0,6500.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-12-02 00:00:00,4000.0,10000.0,7500.0,190
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Pomegranate,Other,Small,2011-12-08 00:00:00,4000.0,8000.0,7000.0,190
