State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Navsari,Vansda,Ragi (Finger Millet),Other,FAQ,2007-02-09,550,600,600.0,30
Gujarat,Surat,Songadh,Ragi (Finger Millet),Other,FAQ,2007-04-07,475,485,480.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2018-02-26 00:00:00,3650,3910,3800.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2018-02-28 00:00:00,3650,3860,3750.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2018-03-14 00:00:00,4120,4440,4300.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2018-04-02 00:00:00,4300,4650,4540.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2018-04-17 00:00:00,4560,4950,4650.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2018-04-24 00:00:00,4650,4880,4750.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2018-05-18 00:00:00,5800,6590,6200.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2018-05-25 00:00:00,5850,6050,5950.0,30
Gujarat,Dahod,Limkheda,Ragi (Finger Millet),Other,FAQ,2018-01-01 00:00:00,1385,1400,1390.0,30
Gujarat,Dahod,Limkheda,Ragi (Finger Millet),Other,FAQ,2018-01-08 00:00:00,1390,1410,1400.0,30
Gujarat,Dahod,Limkheda,Ragi (Finger Millet),Other,FAQ,2018-01-16 00:00:00,1370,1390,1380.0,30
Gujarat,Dahod,Limkheda,Ragi (Finger Millet),Other,FAQ,2018-02-07 00:00:00,1390,1410,1400.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2015-02-09 00:00:00,4100,4450,4300.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2015-02-11 00:00:00,4200,4450,4350.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2015-02-12 00:00:00,4200,4455,4300.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2015-02-16 00:00:00,4250,4420,4300.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2015-02-28 00:00:00,3700,4150,4000.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2015-03-11 00:00:00,4000,4230,4100.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2015-03-13 00:00:00,4200,4530,4350.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2015-03-21 00:00:00,4120,4420,4300.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2015-03-23 00:00:00,4120,4530,4260.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2015-04-09 00:00:00,4490,4855,4650.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2015-04-10 00:00:00,4450,4930,4650.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2015-04-16 00:00:00,4650,4910,4820.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2015-04-20 00:00:00,4700,4965,4800.0,30
Gujarat,Anand,Khambhat(Grain Market),Ragi (Finger Millet),Other,FAQ,2015-04-28 00:00:00,4500,4720,4600.0,30
