State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Banaskanth,Palanpur,Red Gram,Other,FAQ,2016-01-02,2950.0,3000.0,2975.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2016-01-05,4400.0,4400.0,4400.0,7
Gujarat,Bhavnagar,Palitana,Red Gram,Other,FAQ,2016-01-04,4000.0,6000.0,5000.0,7
Gujarat,Junagarh,Bhesan,Red Gram,Other,FAQ,2016-01-15,3570.0,4760.0,4165.0,7
Gujarat,Rajkot,Gondal,Red Gram,Desi(Whole),FAQ,2016-01-08,3155.0,5665.0,4780.0,7
Gujarat,Rajkot,Gondal,Red Gram,Desi(Whole),FAQ,2016-01-09,3780.0,5280.0,4605.0,7
Gujarat,Rajkot,Gondal,Red Gram,Desi(Whole),FAQ,2016-01-18,4000.0,7880.0,4680.0,7
Gujarat,Sabarkantha,Himatnagar,Red Gram,Other,FAQ,2016-01-13,4200.0,4400.0,4300.0,7
Gujarat,Ahmedabad,Sanad,Red Gram,Other,FAQ,2012-01-27 00:00:00,1945.0,1945.0,1945.0,7
Gujarat,Banaskanth,Deesa(Bhildi),Red Gram,Other,FAQ,2012-12-22 00:00:00,2450.0,2450.0,2450.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-01-09 00:00:00,2700.0,3300.0,3000.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-01-17 00:00:00,3500.0,3745.0,3625.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-01-24 00:00:00,3345.0,3345.0,3345.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-01-27 00:00:00,2950.0,2950.0,2950.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-02-06 00:00:00,3420.0,3420.0,3420.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-02-07 00:00:00,2295.0,3495.0,2895.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-02-08 00:00:00,2550.0,2700.0,2625.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-02-10 00:00:00,2900.0,2900.0,2900.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-03-05 00:00:00,3200.0,3285.0,3240.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-03-15 00:00:00,3100.0,3425.0,3260.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-03-20 00:00:00,3000.0,3550.0,3275.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-03-27 00:00:00,3150.0,3375.0,3260.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-04-16 00:00:00,3150.0,3495.0,3320.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-04-30 00:00:00,3250.0,3650.0,3450.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-05-14 00:00:00,4175.0,4290.0,4230.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-05-21 00:00:00,4430.0,4430.0,4430.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-06-02 00:00:00,4245.0,4245.0,4245.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-06-09 00:00:00,4000.0,4055.0,4030.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-06-12 00:00:00,4075.0,4075.0,4075.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-06-22 00:00:00,4280.0,4280.0,4280.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-07-07 00:00:00,3000.0,3000.0,3000.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-07-18 00:00:00,5000.0,5000.0,5000.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-08-04 00:00:00,5000.0,5000.0,5000.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-10-12 00:00:00,1965.0,1965.0,1965.0,7
Gujarat,Bhavnagar,Bhavnagar,Red Gram,Other,FAQ,2012-11-06 00:00:00,4580.0,5080.0,4830.0,7
Gujarat,Bhavnagar,Mahuva(Station Road),Red Gram,Other,FAQ,2012-06-06 00:00:00,692.0,790.0,725.0,7
Gujarat,Bhavnagar,Mahuva(Station Road),Red Gram,Other,FAQ,2012-06-11 00:00:00,822.0,822.0,822.0,7
Gujarat,Bhavnagar,Mahuva(Station Road),Red Gram,Other,FAQ,2012-06-22 00:00:00,865.0,887.0,870.0,7
Gujarat,Bhavnagar,Mahuva(Station Road),Red Gram,Other,FAQ,2012-07-21 00:00:00,903.0,1084.0,950.0,7
Gujarat,Bhavnagar,Mahuva(Station Road),Red Gram,Other,FAQ,2012-08-27 00:00:00,1026.0,1030.0,1028.0,7
Gujarat,Bhavnagar,Mahuva(Station Road),Red Gram,Other,FAQ,2012-09-24 00:00:00,1053.0,1053.0,1053.0,7
Gujarat,Bhavnagar,Mahuva(Station Road),Red Gram,Other,FAQ,2012-11-06 00:00:00,966.0,966.0,966.0,7
Gujarat,Bhavnagar,Mahuva(Station Road),Red Gram,Other,FAQ,2012-11-09 00:00:00,946.0,946.0,946.0,7
Gujarat,Bhavnagar,Mahuva(Station Road),Red Gram,Other,FAQ,2012-12-26 00:00:00,905.0,905.0,905.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-05-05 00:00:00,3250.0,3800.0,3525.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-05-07 00:00:00,2800.0,3800.0,3300.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-05-17 00:00:00,3200.0,4100.0,3650.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-05-21 00:00:00,3250.0,4130.0,3690.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-05-26 00:00:00,3845.0,4305.0,4075.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-06-16 00:00:00,3450.0,4380.0,3915.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-06-19 00:00:00,4000.0,4115.0,4055.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-06-20 00:00:00,3000.0,4455.0,3725.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-06-22 00:00:00,3660.0,4055.0,3855.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-07-05 00:00:00,4060.0,5005.0,4530.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-07-07 00:00:00,5100.0,5100.0,5100.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-07-10 00:00:00,4705.0,4705.0,4705.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-07-27 00:00:00,3525.0,5000.0,4260.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-08-03 00:00:00,4750.0,4750.0,4750.0,7
Gujarat,Botad,Botad,Red Gram,Other,FAQ,2012-08-22 00:00:00,4490.0,4490.0,4490.0,7
Gujarat,Jamnagar,Jam Jodhpur,Red Gram,Other,FAQ,2012-01-23 00:00:00,2150.0,3100.0,2625.0,7
Gujarat,Jamnagar,Jam Jodhpur,Red Gram,Other,FAQ,2012-01-28 00:00:00,2000.0,2800.0,2500.0,7
Gujarat,Jamnagar,Jam Jodhpur,Red Gram,Other,FAQ,2012-02-21 00:00:00,2500.0,3210.0,2850.0,7
Gujarat,Jamnagar,Jam Jodhpur,Red Gram,Other,FAQ,2012-02-22 00:00:00,2500.0,3210.0,2500.0,7
Gujarat,Jamnagar,Jam Jodhpur,Red Gram,Other,FAQ,2012-03-06 00:00:00,3000.0,3225.0,3125.0,7
Gujarat,Jamnagar,Jam Jodhpur,Red Gram,Other,FAQ,2012-03-13 00:00:00,3100.0,3325.0,3200.0,7
Gujarat,Jamnagar,Jam Jodhpur,Red Gram,Other,FAQ,2012-03-23 00:00:00,3250.0,3475.0,3350.0,7
Gujarat,Jamnagar,Jam Jodhpur,Red Gram,Other,FAQ,2012-04-09 00:00:00,3125.0,3450.0,3300.0,7
Gujarat,Jamnagar,Jam Jodhpur,Red Gram,Other,FAQ,2012-04-11 00:00:00,3200.0,3475.0,3350.0,7
