State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Bharuch,Bharuch,Seetapal,Other,FAQ,2007-10-18,750.0,1000.0,875.0,201
Gujarat,Bharuch,Bharuch,Seetapal,Other,FAQ,2007-10-29,750.0,1000.0,875.0,201
Gujarat,Bharuch,Bharuch,Seetapal,Other,FAQ,2007-10-31,750.0,1000.0,875.0,201
Gujarat,Bharuch,Bharuch,Seetapal,Other,FAQ,2007-11-03,500.0,800.0,675.0,201
Gujarat,Bharuch,Bharuch,Seetapal,Other,FAQ,2007-11-10,500.0,800.0,675.0,201
Gujarat,Vadodara(Baroda),Vadodara,Seetapal,Other,Medium,2007-10-04,1500.0,3000.0,2100.0,201
Gujarat,Vadodara(Baroda),Vadodara,Seetapal,Other,Medium,2007-10-14,1200.0,2500.0,1800.0,201
Gujarat,Vadodara(Baroda),Vadodara,Seetapal,Other,Medium,2007-10-20,600.0,1750.0,1100.0,201
Gujarat,Vadodara(Baroda),Vadodara,Seetapal,Other,Medium,2007-10-26,450.0,1500.0,900.0,201
Gujarat,Vadodara(Baroda),Vadodara,Seetapal,Other,Medium,2007-11-03,450.0,1500.0,900.0,201
Gujarat,Vadodara(Baroda),Vadodara,Seetapal,Other,Medium,2007-11-07,400.0,1000.0,700.0,201
Gujarat,Vadodara(Baroda),Vadodara,Seetapal,Other,Medium,2007-11-11,350.0,900.0,650.0,201
Gujarat,Vadodara(Baroda),Vadodara,Seetapal,Other,Medium,2007-11-12,400.0,1000.0,700.0,201
Gujarat,Vadodara(Baroda),Vadodara,Seetapal,Other,Medium,2007-11-19,400.0,1000.0,700.0,201
Gujarat,Vadodara(Baroda),Vadodara,Seetapal,Other,Medium,2007-11-30,400.0,1000.0,700.0,201
Gujarat,Porbandar,Porbandar,Seetapal,Other,Large,2022-10-12 00:00:00,3000.0,4000.0,3500.0,201
Gujarat,Porbandar,Porbandar,Seetapal,Other,Large,2022-10-31 00:00:00,2000.0,4000.0,3500.0,201
Gujarat,Porbandar,Porbandar,Seetapal,Other,Large,2022-11-09 00:00:00,2000.0,6000.0,4000.0,201
Gujarat,Porbandar,Porbandar,Seetapal,Other,Large,2022-11-18 00:00:00,2000.0,4000.0,3000.0,201
Gujarat,Porbandar,Porbandar,Seetapal,Other,Large,2022-12-09 00:00:00,3000.0,3500.0,3250.0,201
Gujarat,Porbandar,Porbandar,Seetapal,Other,Large,2022-12-10 00:00:00,3000.0,4000.0,3500.0,201
Gujarat,Porbandar,Porbandar,Seetapal,Other,Large,2022-12-13 00:00:00,3000.0,3500.0,3250.0,201
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Seetapal,Other,Medium,2015-10-10 00:00:00,2000.0,3500.0,3000.0,201
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Seetapal,Other,Medium,2015-10-13 00:00:00,1500.0,3000.0,2500.0,201
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Seetapal,Other,Medium,2015-10-16 00:00:00,1500.0,3000.0,2500.0,201
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Seetapal,Other,Medium,2015-10-17 00:00:00,1500.0,3000.0,2500.0,201
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)",Seetapal,Other,Medium,2015-10-20 00:00:00,1500.0,3000.0,2500.0,201
