State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-08-15,1300.0,1400.0,1350.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-09-11,800.0,900.0,850.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-09-18,800.0,900.0,850.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-09-22,700.0,800.0,750.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-10-01,1200.0,1300.0,1250.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-10-04,1000.0,1100.0,1050.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-10-09,1000.0,1100.0,1050.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-10-18,1500.0,1600.0,1550.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-10-20,1500.0,1600.0,1550.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-10-29,1100.0,1200.0,1150.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-11-02,800.0,900.0,850.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-11-15,500.0,600.0,550.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-11-16,600.0,700.0,650.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-11-17,500.0,600.0,550.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-12-01,800.0,900.0,850.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-12-06,800.0,900.0,850.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-12-21,600.0,700.0,650.0,342
Gujarat,Anand,"Petlad(Veg Yard, Petlad)",Spinach,Other,FAQ,2007-12-29,400.0,500.0,450.0,342
Gujarat,Gir Somnath,Una,Spinach,Other,FAQ,2007-02-07,200.0,200.0,200.0,342
Gujarat,Surendranagar,Vadhvan,Spinach,Spinach,FAQ,2007-06-28,600.0,750.0,675.0,342
Gujarat,Surendranagar,Vadhvan,Spinach,Spinach,FAQ,2007-07-10,500.0,750.0,625.0,342
Gujarat,Surendranagar,Vadhvan,Spinach,Spinach,FAQ,2007-07-12,600.0,700.0,650.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-02-27,200.0,250.0,225.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-03-24,350.0,400.0,375.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-04-12,200.0,250.0,225.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-04-13,200.0,250.0,225.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-04-16,250.0,300.0,275.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-04-17,250.0,300.0,275.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-05-10,200.0,350.0,300.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-05-17,300.0,350.0,325.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-05-18,300.0,325.0,310.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-05-28,300.0,325.0,310.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-05-29,350.0,400.0,375.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-06-02,350.0,500.0,425.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-06-04,250.0,400.0,350.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-06-11,350.0,400.0,375.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-06-22,375.0,400.0,385.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-07-09,1000.0,1250.0,1150.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-07-25,1000.0,1050.0,1025.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-08-17,850.0,900.0,875.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-08-20,600.0,700.0,650.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-08-22,500.0,750.0,700.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-09-12,400.0,500.0,450.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-09-15,650.0,800.0,750.0,342
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,2007-10-16,1000.0,1250.0,1100.0,342
