State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-06-04,500,700,600.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-06-08,500,600,550.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-06-19,1000,1200,1100.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-06-26,500,600,550.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-06-27,1000,1200,1100.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-07-04,500,550,525.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-07-05,500,700,600.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-07-09,500,700,600.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-07-31,1000,1300,1200.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-08-02,800,1000,900.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-08-07,1000,1200,1100.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-08-10,1000,1200,1100.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-08-18,1000,1500,1400.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-09-03,1600,1800,1700.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-09-04,1500,1800,1700.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-09-07,2000,2200,2100.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-09-16,2000,2500,2200.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-06-02 00:00:00,500,800,600.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-06-06 00:00:00,500,800,600.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-06-09 00:00:00,500,600,550.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-06-16 00:00:00,500,700,600.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-06-21 00:00:00,1000,1200,1100.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-06-24 00:00:00,500,600,550.0,332
Gujarat,Kachchh,K.Mandvi,Squash(Chappal Kadoo),Other,FAQ,2011-06-25 00:00:00,400,600,500.0,332
