State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-02-26,1500,2000,1750.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-03-14,1600,2600,2100.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-05-09,1000,2000,1500.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-05-10,1000,2000,1500.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-05-19,1500,1500,1500.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-05-24,1200,1800,1500.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-06-05,1000,1500,1250.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-07-05,1000,2400,1700.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-07-11,1200,2000,1600.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-07-17,1200,2000,1600.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-07-19,1500,3000,2250.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-07-21,1500,3000,2250.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-07-24,1500,3000,2250.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-08-01,1500,3000,2250.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-08-10,1500,2500,2000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-08-22,2000,2000,2000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-08-27,2000,2000,2000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-09-08,1000,1800,1400.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-09-11,1000,1800,1500.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-09-20,1500,2000,1750.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-09-22,1500,2000,1750.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-10-12,1500,2000,1800.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-10-15,1500,2500,2000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-10-16,1500,2000,1800.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-10-30,1800,2400,2000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-11-26,1600,2400,2000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-12-04,1600,2500,2000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-12-06,1600,2500,2000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-12-08,1600,2500,2000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2007-12-18,1500,2200,2000.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,With Seed 1Variety,FAQ,2020-03-02 00:00:00,4495,4550,4522.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,With Seed 1Variety,FAQ,2020-03-13 00:00:00,4750,4800,4775.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,With Seed 1Variety,FAQ,2020-03-18 00:00:00,4545,4750,4647.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,With Seed 1Variety,FAQ,2020-03-19 00:00:00,5000,5050,5025.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,Other,FAQ,2016-02-14 00:00:00,2950,2950,2950.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,Other,FAQ,2016-03-05 00:00:00,2825,2825,2825.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,Other,FAQ,2016-03-18 00:00:00,2840,2840,2840.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,Other,FAQ,2016-04-12 00:00:00,2630,2630,2630.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,Other,FAQ,2016-04-15 00:00:00,2605,2605,2605.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-02-14 00:00:00,2000,2550,2350.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-02-26 00:00:00,2000,3000,2600.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-02-28 00:00:00,2250,3000,2650.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-03-03 00:00:00,2000,3000,2650.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-03-05 00:00:00,2150,3000,2550.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-03-10 00:00:00,2000,3020,2650.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-03-18 00:00:00,2150,3100,2650.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-03-25 00:00:00,2200,3100,2650.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-03-29 00:00:00,2250,3150,2650.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-03-31 00:00:00,2500,3520,2800.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-04-02 00:00:00,2200,3150,2650.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-04-21 00:00:00,2550,3550,3250.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-04-27 00:00:00,2500,3550,3050.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-05-07 00:00:00,2550,3500,3150.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-05-10 00:00:00,2250,3250,2850.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-05-25 00:00:00,2500,3300,3000.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2016-06-02 00:00:00,2100,2500,2300.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,With Seed 1Variety,FAQ,2021-02-05 00:00:00,3655,4045,3850.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,With Seed 1Variety,FAQ,2021-02-15 00:00:00,3445,3905,3675.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,With Seed 1Variety,FAQ,2021-02-22 00:00:00,3380,3475,3427.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,With Seed 1Variety,FAQ,2021-02-23 00:00:00,3055,3730,3392.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,With Seed 1Variety,FAQ,2021-03-08 00:00:00,3150,3500,3325.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,With Seed 1Variety,FAQ,2021-03-12 00:00:00,3005,3480,3242.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,With Seed 1Variety,FAQ,2021-03-13 00:00:00,3160,3940,3550.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,With Seed 1Variety,FAQ,2021-03-15 00:00:00,3240,3655,3447.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,With Seed 1Variety,FAQ,2021-03-24 00:00:00,2890,3375,3132.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,With Seed 1Variety,FAQ,2021-03-29 00:00:00,3175,3250,3212.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,Other,FAQ,2015-02-27 00:00:00,2700,2700,2700.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,Other,FAQ,2015-02-28 00:00:00,2615,2615,2615.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,Other,FAQ,2015-03-12 00:00:00,2525,2525,2525.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,Other,FAQ,2015-03-19 00:00:00,2500,2500,2500.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,Other,FAQ,2015-03-30 00:00:00,2350,2350,2350.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,Other,FAQ,2015-04-10 00:00:00,2175,2175,2175.0,261
Gujarat,Surat,Songadh,Tamarind Fruit,Other,FAQ,2015-04-16 00:00:00,2000,2000,2000.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2015-02-15 00:00:00,2050,2750,2550.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2015-01-20 00:00:00,5000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2015-01-22 00:00:00,5000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2015-02-02 00:00:00,4000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2015-02-06 00:00:00,4000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2015-02-09 00:00:00,4000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2015-02-16 00:00:00,4000,6000,6000.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2012-03-06 00:00:00,1900,2500,2300.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2012-03-12 00:00:00,2400,2465,2415.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2012-03-21 00:00:00,2390,2405,2400.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2012-03-22 00:00:00,2425,2490,2455.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2012-03-30 00:00:00,1500,1550,1525.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2012-04-05 00:00:00,1290,1360,1305.0,261
Gujarat,Surat,Valod(Buhari),Tamarind Fruit,Other,FAQ,2012-04-09 00:00:00,1190,1240,1200.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-01-07 00:00:00,5000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-01-20 00:00:00,6000,7000,7000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-01-23 00:00:00,5000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-01-25 00:00:00,5000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-01-30 00:00:00,5000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-01-31 00:00:00,5000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-02-01 00:00:00,5000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-02-10 00:00:00,4000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-02-16 00:00:00,4000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-02-17 00:00:00,5000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-02-25 00:00:00,5000,6000,6000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-03-03 00:00:00,4000,5000,5000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-03-05 00:00:00,4000,5000,5000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-03-14 00:00:00,3500,4000,4000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-03-21 00:00:00,3500,4000,4000.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-03-30 00:00:00,3000,4500,4500.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-04-04 00:00:00,3000,3200,3200.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-04-05 00:00:00,3000,3200,3200.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-04-09 00:00:00,3000,3200,3200.0,261
Gujarat,Vadodara(Baroda),Vadodara,Tamarind Fruit,Other,FAQ,2012-04-14 00:00:00,3000,4000,4000.0,261
