State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2024-02-27,4360,4360.0,4360.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2024-03-15,4005,4100.0,4050.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2024-04-08,3925,4025.0,3975.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2024-04-16,3960,3990.0,3975.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2024-04-20,3950,4150.0,4050.0,76
Gujarat,Banaskanth,Panthawada,Taramira,Other,FAQ,2024-04-30,4200,4275.0,4237.5,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2024-06-01 00:00:00,4680,4680.0,4680.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2024-06-03 00:00:00,4500,4630.0,4560.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2024-06-05 00:00:00,4400,4550.0,4475.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2024-06-18 00:00:00,4275,4400.0,4345.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2024-06-20 00:00:00,4255,4350.0,4300.0,76
Gujarat,Banaskanth,Panthawada,Taramira,Other,FAQ,2024-06-20 00:00:00,4265,4265.0,4265.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2024-05-04 00:00:00,4350,4410.0,4385.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2025-02-05 00:00:00,4345,4345.0,4345.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2025-02-28 00:00:00,4285,4285.0,4285.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2024-09-23 00:00:00,4500,4580.0,4540.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2023-02-13 00:00:00,4220,4315.0,4270.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2023-03-21 00:00:00,5000,5090.0,5045.0,76
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,2023-04-05 00:00:00,5000,5000.0,5000.0,76
