State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-04-10,1250.0,1300.0,1250.0,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-04-17,1250.0,1300.0,1250.0,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-04-26,1500.0,1650.0,1500.0,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-05-06,1800.0,2200.0,2000.0,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-05-12,1800.0,2200.0,2000.0,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-05-17,1800.0,2200.0,2000.0,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-05-31,1750.0,3000.0,1950.0,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-06-04,1800.0,2200.0,1950.0,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-06-08,1800.0,2150.0,1950.0,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-06-12,1800.0,2200.0,2000.0,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-06-13,1800.0,2200.0,2000.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2007-01-05,1665.0,1665.0,1665.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2007-03-17,1950.0,2440.0,2330.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2007-03-19,1305.0,2850.0,2350.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2007-03-26,1510.0,2790.0,2350.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2007-04-17,1530.0,2885.0,2300.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2007-04-24,1005.0,2575.0,2175.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2007-04-26,1080.0,2755.0,2250.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2007-04-30,1505.0,2805.0,2375.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2007-05-01,1700.0,3125.0,2400.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2007-05-03,1055.0,3030.0,2325.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2007-05-05,1360.0,3010.0,2300.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2007-05-14,1750.0,3125.0,2500.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2007-05-19,1760.0,2960.0,2450.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2007-03-06,1950.0,2050.0,2000.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2007-03-15,1950.0,2025.0,2000.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2007-03-19,1950.0,2050.0,2000.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2007-03-21,1950.0,2025.0,2000.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2007-03-24,2600.0,2800.0,2675.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2007-03-28,2750.0,2825.0,2800.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2007-04-02,2400.0,2500.0,2450.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2007-04-03,2750.0,2825.0,2800.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2007-04-04,2700.0,2800.0,2750.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2007-04-11,2700.0,2775.0,2750.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2007-06-06,1775.0,1950.0,1900.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2022-04-19 00:00:00,5000.0,9125.0,7850.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2022-04-28 00:00:00,4750.0,8255.0,7500.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2022-05-04 00:00:00,4850.0,8605.0,7750.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2022-05-12 00:00:00,4750.0,8355.0,7500.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2022-05-13 00:00:00,4655.0,7755.0,7000.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2022-05-14 00:00:00,4755.0,8355.0,7500.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2022-05-24 00:00:00,4555.0,8200.0,7500.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2022-06-09 00:00:00,4750.0,7255.0,6750.0,141
Gujarat,Banaskanth,Deesa(Bhildi),Tobacco,Other,FAQ,2022-04-06 00:00:00,7000.0,8310.0,7900.0,141
Gujarat,Banaskanth,Deesa(Bhildi),Tobacco,Other,FAQ,2022-04-11 00:00:00,7500.0,8925.0,8250.0,141
Gujarat,Banaskanth,Deesa(Bhildi),Tobacco,Other,FAQ,2022-04-18 00:00:00,7000.0,8875.0,8000.0,141
Gujarat,Banaskanth,Deesa(Bhildi),Tobacco,Other,FAQ,2022-04-19 00:00:00,7000.0,8875.0,7750.0,141
Gujarat,Banaskanth,Deesa(Bhildi),Tobacco,Other,FAQ,2022-04-20 00:00:00,7000.0,8405.0,7750.0,141
Gujarat,Banaskanth,Deesa(Bhildi),Tobacco,Other,FAQ,2022-04-23 00:00:00,6500.0,8500.0,7500.0,141
Gujarat,Banaskanth,Deesa(Bhildi),Tobacco,Other,FAQ,2022-04-27 00:00:00,6755.0,8655.0,7500.0,141
Gujarat,Banaskanth,Deesa(Bhildi),Tobacco,Other,FAQ,2022-04-29 00:00:00,6000.0,8000.0,7000.0,141
Gujarat,Banaskanth,Deesa(Bhildi),Tobacco,Other,FAQ,2022-05-07 00:00:00,6355.0,7900.0,7000.0,141
Gujarat,Banaskanth,Deesa(Bhildi),Tobacco,Other,FAQ,2022-05-11 00:00:00,6400.0,7325.0,6500.0,141
Gujarat,Banaskanth,Thara,Tobacco,Beedi,FAQ,2022-04-18 00:00:00,7250.0,8925.0,8087.5,141
Gujarat,Banaskanth,Thara,Tobacco,Beedi,FAQ,2022-04-22 00:00:00,6750.0,8875.0,7812.5,141
Gujarat,Banaskanth,Thara,Tobacco,Beedi,FAQ,2022-05-09 00:00:00,6500.0,8425.0,7462.5,141
Gujarat,Banaskanth,Thara,Tobacco,Beedi,FAQ,2022-05-21 00:00:00,6500.0,7350.0,6925.0,141
Gujarat,Banaskanth,Thara,Tobacco,Beedi,FAQ,2022-05-24 00:00:00,5500.0,7400.0,6450.0,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2022-04-02 00:00:00,6900.0,8675.0,7787.5,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2022-04-27 00:00:00,6800.0,8900.0,7850.0,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2022-05-05 00:00:00,6900.0,9075.0,7987.5,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2022-05-21 00:00:00,6750.0,8625.0,7687.5,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2022-05-25 00:00:00,6575.0,7900.0,7237.5,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2022-05-28 00:00:00,6250.0,7825.0,7037.5,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2022-05-31 00:00:00,6400.0,7950.0,7175.0,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2022-06-06 00:00:00,5800.0,7675.0,6737.5,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2022-06-08 00:00:00,6075.0,7825.0,6950.0,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2022-06-10 00:00:00,6100.0,7350.0,6725.0,141
Gujarat,Mehsana,Vijapur(Kukarvada),Tobacco,Other,FAQ,2022-05-20 00:00:00,4000.0,6705.0,6500.0,141
Gujarat,Mehsana,Vijapur(Ladol),Tobacco,Other,FAQ,2022-04-27 00:00:00,4500.0,8075.0,7400.0,141
Gujarat,Mehsana,Vijapur(Ladol),Tobacco,Other,FAQ,2022-05-20 00:00:00,6750.0,6750.0,6750.0,141
Gujarat,Sabarkantha,Himatnagar,Tobacco,Other,FAQ,2022-03-23 00:00:00,6205.0,8750.0,7478.0,141
Gujarat,Sabarkantha,Himatnagar,Tobacco,Other,FAQ,2022-03-25 00:00:00,6000.0,9000.0,7500.0,141
Gujarat,Sabarkantha,Himatnagar,Tobacco,Other,FAQ,2022-03-28 00:00:00,5250.0,8225.0,6738.0,141
Gujarat,Sabarkantha,Himatnagar,Tobacco,Other,FAQ,2022-03-30 00:00:00,5750.0,7850.0,6800.0,141
Gujarat,Sabarkantha,Himatnagar,Tobacco,Other,FAQ,2022-04-08 00:00:00,3500.0,8025.0,5763.0,141
Gujarat,Sabarkantha,Himatnagar,Tobacco,Other,FAQ,2022-04-11 00:00:00,5000.0,8025.0,6513.0,141
Gujarat,Sabarkantha,Himatnagar,Tobacco,Other,FAQ,2022-04-19 00:00:00,4000.0,7750.0,5875.0,141
Gujarat,Sabarkantha,Himatnagar,Tobacco,Other,FAQ,2022-04-28 00:00:00,4250.0,7475.0,5863.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2021-03-25 00:00:00,6255.0,9860.0,7755.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2021-04-06 00:00:00,6750.0,9355.0,8000.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2021-04-14 00:00:00,7000.0,9005.0,8000.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2021-04-15 00:00:00,7000.0,9255.0,8000.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2021-04-28 00:00:00,7000.0,8555.0,8000.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2021-05-29 00:00:00,7105.0,9355.0,8250.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2021-06-14 00:00:00,7000.0,7850.0,7350.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2021-06-17 00:00:00,6255.0,7760.0,7000.0,141
Gujarat,Banaskanth,Deesa(Bhildi),Tobacco,Other,FAQ,2021-04-07 00:00:00,7000.0,9005.0,8260.0,141
Gujarat,Banaskanth,Deesa(Bhildi),Tobacco,Other,FAQ,2021-05-24 00:00:00,6500.0,8105.0,7900.0,141
Gujarat,Banaskanth,Deesa(Bhildi),Tobacco,Other,FAQ,2021-06-02 00:00:00,7250.0,7500.0,7250.0,141
Gujarat,Banaskanth,Thara,Tobacco,Beedi,FAQ,2021-03-20 00:00:00,5500.0,7750.0,6625.0,141
Gujarat,Banaskanth,Thara,Tobacco,Beedi,FAQ,2021-03-23 00:00:00,6255.0,7550.0,6902.5,141
Gujarat,Banaskanth,Thara,Tobacco,Beedi,FAQ,2021-04-08 00:00:00,6400.0,8305.0,7352.5,141
Gujarat,Banaskanth,Thara,Tobacco,Beedi,FAQ,2021-04-10 00:00:00,6700.0,8475.0,7587.5,141
Gujarat,Banaskanth,Thara,Tobacco,Beedi,FAQ,2021-04-15 00:00:00,6450.0,8250.0,7350.0,141
Gujarat,Banaskanth,Thara,Tobacco,Beedi,FAQ,2021-04-17 00:00:00,6000.0,9375.0,7687.5,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2021-03-15 00:00:00,9500.0,11000.0,10250.0,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2021-03-19 00:00:00,6000.0,8550.0,7275.0,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2021-03-20 00:00:00,6250.0,9000.0,7625.0,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2021-03-22 00:00:00,6000.0,8525.0,7262.5,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2021-04-08 00:00:00,6750.0,9250.0,8000.0,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2021-04-10 00:00:00,7175.0,9250.0,8212.5,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2021-04-12 00:00:00,7500.0,9550.0,8525.0,141
Gujarat,Banaskanth,Thara(Shihori),Tobacco,Beedi,FAQ,2021-05-27 00:00:00,6900.0,8425.0,7662.5,141
Gujarat,Mehsana,Vijapur(Ladol),Tobacco,Other,FAQ,2021-03-24 00:00:00,6000.0,9000.0,7750.0,141
Gujarat,Sabarkantha,Himatnagar,Tobacco,Other,FAQ,2021-03-17 00:00:00,6275.0,7700.0,7100.0,141
Gujarat,Sabarkantha,Himatnagar,Tobacco,Other,FAQ,2021-04-05 00:00:00,6025.0,8500.0,7500.0,141
Gujarat,Sabarkantha,Himatnagar,Tobacco,Other,FAQ,2021-04-08 00:00:00,6250.0,8500.0,7200.0,141
Gujarat,Sabarkantha,Himatnagar,Tobacco,Other,FAQ,2021-04-16 00:00:00,5500.0,7875.0,7200.0,141
Gujarat,Sabarkantha,Himatnagar,Tobacco,Other,FAQ,2021-04-23 00:00:00,5500.0,6750.0,6200.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2013-05-16 00:00:00,3000.0,5360.0,4750.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2013-05-17 00:00:00,3000.0,6085.0,5000.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2013-05-18 00:00:00,3000.0,6105.0,5000.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2013-05-24 00:00:00,3500.0,6055.0,5500.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2013-06-01 00:00:00,3500.0,5500.0,5000.0,141
Gujarat,Banaskanth,Deesa,Tobacco,Other,FAQ,2013-06-04 00:00:00,4000.0,5605.0,5000.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-01-16 00:00:00,3500.0,4725.0,4675.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-01-23 00:00:00,4555.0,4555.0,4555.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-01-28 00:00:00,3900.0,4850.0,4525.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-04-02 00:00:00,3560.0,5765.0,5050.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-04-03 00:00:00,3500.0,6155.0,5125.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-04-04 00:00:00,3500.0,6085.0,5450.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-04-05 00:00:00,3750.0,6905.0,5600.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-04-18 00:00:00,3000.0,6035.0,5205.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-04-22 00:00:00,3025.0,7505.0,5850.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-04-25 00:00:00,3205.0,7070.0,5675.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-04-30 00:00:00,2850.0,6500.0,5250.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-05-02 00:00:00,2950.0,6630.0,5250.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-05-06 00:00:00,2850.0,6765.0,5425.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-05-15 00:00:00,2900.0,6460.0,5250.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-05-24 00:00:00,2750.0,6200.0,5325.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-06-11 00:00:00,3000.0,6105.0,5325.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-06-13 00:00:00,2775.0,5555.0,5205.0,141
Gujarat,Mehsana,Unava,Tobacco,Other,FAQ,2013-11-26 00:00:00,5390.0,5390.0,5390.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2013-01-03 00:00:00,3000.0,3600.0,3300.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2013-02-04 00:00:00,3000.0,3500.0,3425.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2013-02-07 00:00:00,3500.0,3600.0,3550.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2013-02-20 00:00:00,3000.0,3200.0,3100.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2013-03-11 00:00:00,3000.0,3300.0,3200.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2013-04-26 00:00:00,2200.0,2500.0,2350.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2013-05-08 00:00:00,2800.0,3000.0,2900.0,141
Gujarat,Vadodara(Baroda),Savli,Tobacco,Other,FAQ,2013-05-09 00:00:00,3000.0,3300.0,3150.0,141
