State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2007-02-10,2000,2800,2400.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2007-03-07,2400,3200,2800.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2007-03-30,2000,3000,2500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2007-10-15,2100,2500,2300.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-01-08 00:00:00,18000,22000,21500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-02-12 00:00:00,16000,18000,18000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-02-21 00:00:00,10000,12500,12000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-03-15 00:00:00,12000,14000,14000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-03-16 00:00:00,12000,14000,14000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-03-24 00:00:00,12000,15000,15000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-03-25 00:00:00,12000,15000,13500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-03-26 00:00:00,12000,15000,15000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-04-11 00:00:00,12000,13000,13000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-04-14 00:00:00,12000,13000,13000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-04-20 00:00:00,12000,13000,13000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-05-12 00:00:00,12000,13500,13500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-06-07 00:00:00,10000,11000,11000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-06-08 00:00:00,10000,11000,11000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-06-16 00:00:00,10000,11000,11000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-06-22 00:00:00,10000,12000,12000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-06-29 00:00:00,10000,12000,12000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-07-02 00:00:00,9000,10000,10000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-07-11 00:00:00,9000,10000,10000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-07-28 00:00:00,10000,11000,11000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-07-30 00:00:00,10000,11000,11000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-08-01 00:00:00,10000,11000,11000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-08-03 00:00:00,10000,11000,11000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-08-18 00:00:00,10000,11000,11000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-09-03 00:00:00,8000,9500,9500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-09-05 00:00:00,8000,9500,9500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-09-16 00:00:00,6000,8000,8000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-09-24 00:00:00,6000,8000,8000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-09-26 00:00:00,6000,8000,8000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-09-27 00:00:00,6000,8000,8000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-10-10 00:00:00,6000,8000,8000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-10-11 00:00:00,8000,9000,9000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-10-17 00:00:00,8000,9000,9000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-11-04 00:00:00,8000,8500,8500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-11-14 00:00:00,7000,7500,7500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-11-23 00:00:00,8000,9000,9000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-12-08 00:00:00,7000,8000,8000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-12-13 00:00:00,6000,6500,6500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2011-12-19 00:00:00,6000,7000,7000.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2012-06-15 00:00:00,5000,5500,5500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2012-07-17 00:00:00,6000,6500,6500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2012-07-20 00:00:00,6000,6500,6500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2012-07-28 00:00:00,6000,6500,6500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2012-08-01 00:00:00,4000,5500,5500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2012-08-08 00:00:00,4000,5500,5500.0,39
Gujarat,Vadodara(Baroda),Vadodara,Turmeric,Other,FAQ,2012-08-25 00:00:00,6000,6500,6500.0,39
