State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-01-06,700.0,1200.0,1100.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-01-10,1100.0,1250.0,1200.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-01-22,1500.0,1600.0,1550.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-01-24,1500.0,1800.0,1700.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-01-31,1300.0,1400.0,1400.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-02-09,1100.0,1500.0,1350.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-02-13,1000.0,1200.0,1150.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-02-21,1100.0,1200.0,1150.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-02-27,900.0,1200.0,1100.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-03-06,1000.0,1100.0,1100.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-03-12,1200.0,1300.0,1250.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-03-13,1000.0,1300.0,1200.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-03-24,1200.0,1400.0,1350.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-04-13,1650.0,1700.0,1675.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-04-24,1500.0,1600.0,1550.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-06-13,1500.0,1600.0,1550.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-06-18,1700.0,2000.0,1950.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-07-09,1500.0,1700.0,1600.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-08-18,1400.0,1500.0,1450.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-09-14,3500.0,4000.0,3850.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-10-10,1600.0,1750.0,1675.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-10-13,1400.0,1500.0,1450.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-10-15,1300.0,2550.0,2100.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-10-23,2500.0,3000.0,2850.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-10-24,2500.0,2800.0,2700.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-10-25,2300.0,2500.0,2400.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-10-29,2000.0,2500.0,2350.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-11-23,1500.0,1800.0,1700.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-12-04,1300.0,1600.0,1500.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-12-10,1000.0,1200.0,1150.0,297
Gujarat,Ahmedabad,Ahmedabad,Yam (Ratalu),Other,FAQ,2007-12-17,1100.0,1200.0,1150.0,297
Gujarat,Amreli,Dhari,Yam (Ratalu),Other,FAQ,2007-03-16,4000.0,6250.0,4500.0,297
Gujarat,Amreli,Dhari,Yam (Ratalu),Other,FAQ,2007-03-22,5000.0,6000.0,5000.0,297
Gujarat,Amreli,Dhari,Yam (Ratalu),Other,FAQ,2007-03-24,5000.0,6000.0,5000.0,297
Gujarat,Amreli,Dhari,Yam (Ratalu),Other,FAQ,2007-03-30,3500.0,6500.0,3500.0,297
Gujarat,Amreli,Dhari,Yam (Ratalu),Other,FAQ,2007-04-03,4000.0,5000.0,4750.0,297
Gujarat,Amreli,Dhari,Yam (Ratalu),Other,FAQ,2007-04-09,6250.0,6250.0,6250.0,297
Gujarat,Amreli,Dhari,Yam (Ratalu),Other,FAQ,2007-04-19,6250.0,7000.0,6500.0,297
Gujarat,Amreli,Dhari,Yam (Ratalu),Other,FAQ,2007-04-21,6000.0,6500.0,6500.0,297
Gujarat,Amreli,Dhari,Yam (Ratalu),Other,FAQ,2007-12-13,5000.0,7500.0,5000.0,297
Gujarat,Amreli,Dhari,Yam (Ratalu),Other,FAQ,2007-12-14,6000.0,20000.0,13750.0,297
Gujarat,Amreli,Dhari,Yam (Ratalu),Other,FAQ,2007-12-19,5000.0,5000.0,5000.0,297
Gujarat,Dahod,Dahod,Yam (Ratalu),Other,FAQ,2007-03-26,1250.0,1500.0,1500.0,297
Gujarat,Kheda,Nadiad,Yam (Ratalu),Other,FAQ,2007-01-20,5500.0,6000.0,5750.0,297
Gujarat,Navsari,Bilimora,Yam (Ratalu),Other,FAQ,2007-01-07,2000.0,2500.0,2250.0,297
Gujarat,Navsari,Bilimora,Yam (Ratalu),Other,FAQ,2007-01-14,2250.0,2500.0,2400.0,297
Gujarat,Navsari,Bilimora,Yam (Ratalu),Other,FAQ,2007-01-23,2000.0,2500.0,2400.0,297
Gujarat,Navsari,Bilimora,Yam (Ratalu),Other,FAQ,2007-01-25,2000.0,2625.0,2400.0,297
Gujarat,Navsari,Bilimora,Yam (Ratalu),Other,FAQ,2007-01-26,2000.0,2800.0,2500.0,297
Gujarat,Navsari,Bilimora,Yam (Ratalu),Other,FAQ,2007-02-02,2000.0,2800.0,2700.0,297
Gujarat,Navsari,Bilimora,Yam (Ratalu),Other,FAQ,2007-02-04,2000.0,2625.0,2500.0,297
